row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2016VND,2015VND,,
Công ty CP Thép Hòa Phát,Công ty CP Thép Hòa Phát,Công ty CP Thép Hòa Phát,Công ty CP Thép Hòa Phát,Công ty CP Thép Hòa Phát,,
Cung cấp dịch vụ,Công ty CP Thép Hòa Phát > Cung cấp dịch vụ,Cung cấp dịch vụ,24.618.904.726,3.192.000.000,24618904726.0,3192000000.0
Các khoản cho vay,Công ty CP Thép Hòa Phát > Các khoản cho vay,Các khoản cho vay,100.000.000.000,359.100.000.000,100000000000.0,359100000000.0
Nhận thanh toán gốc cho vay,Công ty CP Thép Hòa Phát > Nhận thanh toán gốc cho vay,Nhận thanh toán gốc cho vay,100.000.000.000,359.100.000.000,100000000000.0,359100000000.0
Góp vốn,Công ty CP Thép Hòa Phát > Góp vốn,Góp vốn,263.986.800.000,-,263986800000.0,
Lợi nhuận nhận được từ công ty con,Công ty CP Thép Hòa Phát > Lợi nhuận nhận được từ công ty con,Lợi nhuận nhận được từ công ty con,2.477.976.000.000,-,2477976000000.0,
Công ty CP Đầu tư Khoáng sản An Thông,Công ty CP Đầu tư Khoáng sản An Thông,Công ty CP Đầu tư Khoáng sản An Thông,Công ty CP Đầu tư Khoáng sản An Thông,Công ty CP Đầu tư Khoáng sản An Thông,,
Cung cấp dịch vụ,Công ty CP Đầu tư Khoáng sản An Thông > Cung cấp dịch vụ,Cung cấp dịch vụ,436.800.000,1.031.100.000,436800000.0,1031100000.0
Các khoản cho vay,Công ty CP Đầu tư Khoáng sản An Thông > Các khoản cho vay,Các khoản cho vay,183.000.000.000,256.000.000.000,183000000000.0,256000000000.0
Nhận thanh toán gốc cho vay,Công ty CP Đầu tư Khoáng sản An Thông > Nhận thanh toán gốc cho vay,Nhận thanh toán gốc cho vay,302.000.000.000,126.500.000.000,302000000000.0,126500000000.0
Chuyển nhượng công ty con cấp 1,Công ty CP Đầu tư Khoáng sản An Thông > Chuyển nhượng công ty con cấp 1,Chuyển nhượng công ty con cấp 1,98.420.000.000,-,98420000000.0,
Công ty TNHH MTV Thép Hòa Phát,Công ty TNHH MTV Thép Hòa Phát,Công ty TNHH MTV Thép Hòa Phát,Công ty TNHH MTV Thép Hòa Phát,Công ty TNHH MTV Thép Hòa Phát,,
Cung cấp dịch vụ,Công ty TNHH MTV Thép Hòa Phát > Cung cấp dịch vụ,Cung cấp dịch vụ,13.994.400.844,3.192.000.000,13994400844.0,3192000000.0
Lợi nhuận nhận được từ công ty con,Công ty TNHH MTV Thép Hòa Phát > Lợi nhuận nhận được từ công ty con,Lợi nhuận nhận được từ công ty con,450.496.575.158,218.541.372.219,450496575158.0,218541372219.0
Công ty CP Golden Gain Việt Nam,Công ty CP Golden Gain Việt Nam,Công ty CP Golden Gain Việt Nam,Công ty CP Golden Gain Việt Nam,Công ty CP Golden Gain Việt Nam,,
Lợi nhuận nhận được từ công ty con,Công ty CP Golden Gain Việt Nam > Lợi nhuận nhận được từ công ty con,Lợi nhuận nhận được từ công ty con,170.886.356.597,280.347.600.000,170886356597.0,280347600000.0
Nhận chuyển nhượng cổ phần từ cổ đông thiểu số,Công ty CP Golden Gain Việt Nam > Nhận chuyển nhượng cổ phần từ cổ đông thiểu số,Nhận chuyển nhượng cổ phần từ cổ đông thiểu số,-,230.628.789.000,,230628789000.0
Công ty CP Năng lượng Hoà Phát,Công ty CP Năng lượng Hoà Phát,Công ty CP Năng lượng Hoà Phát,Công ty CP Năng lượng Hoà Phát,Công ty CP Năng lượng Hoà Phát,,
Cung cấp dịch vụ,Công ty CP Năng lượng Hoà Phát > Cung cấp dịch vụ,Cung cấp dịch vụ,1.394.400.000,1.460.235.000,1394400000.0,1460235000.0
Lợi nhuận nhận được từ công ty con,Công ty CP Năng lượng Hoà Phát > Lợi nhuận nhận được từ công ty con,Lợi nhuận nhận được từ công ty con,599.340.000.000,560.527.439.305,599340000000.0,560527439305.0
Công ty CP Xây dựng và Phát triển Đô thị Hòa Phát,Công ty CP Xây dựng và Phát triển Đô thị Hòa Phát,Công ty CP Xây dựng và Phát triển Đô thị Hòa Phát,Công ty CP Xây dựng và Phát triển Đô thị Hòa Phát,Công ty CP Xây dựng và Phát triển Đô thị Hòa Phát,,
Cung cấp dịch vụ,Công ty CP Xây dựng và Phát triển Đô thị Hòa Phát > Cung cấp dịch vụ,Cung cấp dịch vụ,2.553.600.000,2.553.600.000,2553600000.0,2553600000.0
Lợi nhuận nhận được từ công ty con,Công ty CP Xây dựng và Phát triển Đô thị Hòa Phát > Lợi nhuận nhận được từ công ty con,Lợi nhuận nhận được từ công ty con,109.225.552.227,104.900.000.000,109225552227.0,104900000000.0
Công ty TNHH MTV Tôn Hòa Phát,Công ty TNHH MTV Tôn Hòa Phát,Công ty TNHH MTV Tôn Hòa Phát,Công ty TNHH MTV Tôn Hòa Phát,Công ty TNHH MTV Tôn Hòa Phát,,
