row_label_raw,row_label_full,col_0,Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tổng cộngVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.461.631.355,27.962.665.268,17.592.704.619,50.017.001.242,4461631355.0,27962665268.0,17592704619.0,50017001242.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,15.910.640.000,105.000.000,16.015.640.000,,15910640000.0,105000000.0,16015640000.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(2.069.515.238),-,(2.069.515.238),,-2069515238.0,,-2069515238.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.461.631.355,41.803.790.030,17.697.704.619,63.963.126.004,4461631355.0,41803790030.0,17697704619.0,63963126004.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.135.630.938,16.798.270.369,12.473.474.571,30.407.375.878,1135630938.0,16798270369.0,12473474571.0,30407375878.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,798.980.484,4.239.986.944,1.956.824.579,6.995.792.007,798980484.0,4239986944.0,1956824579.0,6995792007.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(2.069.515.238),-,(2.069.515.238),,-2069515238.0,,-2069515238.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.934.611.422,18.968.742.075,14.430.299.150,35.333.652.647,1934611422.0,18968742075.0,14430299150.0,35333652647.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.326.000.417,11.164.394.899,5.119.230.048,19.609.625.364,3326000417.0,11164394899.0,5119230048.0,19609625364.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.527.019.933,22.835.047.955,3.267.405.469,28.629.473.357,2527019933.0,22835047955.0,3267405469.0,28629473357.0
