row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,4.819.081.750.000,2.207.350.817.068,-,210.868.755.750,1.003.738.106.708,8.241.039.429.526,4819081750000.0,2207350817068.0,,210868755750.0,1003738106708.0,8241039429526.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.790.948.754.290,1.790.948.754.290,,,,,1790948754290.0,1790948754290.0
Phát hành cổ phiếu từ tháng dư vốn cổ phần,Phát hành cổ phiếu từ tháng dư vốn cổ phần,Phát hành cổ phiếu từ tháng dư vốn cổ phần,1.465.851.380.000,(1.465.851.380.000),-,-,-,-,1465851380000.0,-1465851380000.0,,,,
Phát hành cổ phiếu thường cho người lao động,Phát hành cổ phiếu thường cho người lao động,Phát hành cổ phiếu thường cho người lao động,67.350.000.000,(67.350.000.000),-,-,-,-,67350000000.0,-67350000000.0,,,,
Trả cổ tức bằng cổ phiếu (Thuyết minh 18),Trả cổ tức bằng cổ phiếu (Thuyết minh 18),Trả cổ tức bằng cổ phiếu (Thuyết minh 18),977.231.060.000,-,-,-,(977.231.060.000),-,977231060000.0,,,,-977231060000.0,
Trả cổ tức (Thuyết minh 18),Trả cổ tức (Thuyết minh 18),Trả cổ tức (Thuyết minh 18),-,-,-,-,(488.625.075.000),(488.625.075.000),,,,,-488625075000.0,-488625075000.0
Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ,Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ,Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ,-,-,(638.500.000),-,638.500.000,-,,,-638500000.0,,638500000.0,
"Phân bố vào quỹ khen thưởng, phúc lợi","Phân bố vào quỹ khen thưởng, phúc lợi","Phân bố vào quỹ khen thưởng, phúc lợi",-,-,-,-,(122.812.875.412),(122.812.875.412),,,,,-122812875412.0,-122812875412.0
Phân bố vào quỹ đầu tư phát triển,Phân bố vào quỹ đầu tư phát triển,Phân bố vào quỹ đầu tư phát triển,-,-,-,89.547.437.481,(89.547.437.481),-,,,,89547437481.0,-89547437481.0,
Thủ lao thành viên Hội đồng Quản trị và Ban Kiểm soát,Thủ lao thành viên Hội đồng Quản trị và Ban Kiểm soát,Thủ lao thành viên Hội đồng Quản trị và Ban Kiểm soát,-,-,-,-,(100.000.000),(100.000.000),,,,,-100000000.0,-100000000.0
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,7.329.514.190.000,674.149.437.068,(638.500.000),300.416.193.231,1.117.008.913.105,9.420.450.233.404,7329514190000.0,674149437068.0,-638500000.0,300416193231.0,1117008913105.0,9420450233404.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,5.690.657.850.627,5.690.657.850.627,,,,,5690657850627.0,5690657850627.0
Trả cổ tức bằng cổ phiếu (Thuyết minh 18),Trả cổ tức bằng cổ phiếu (Thuyết minh 18),Trả cổ tức bằng cổ phiếu (Thuyết minh 18),1.099.235.370.000,-,-,-,(1.099.235.370.000),-,1099235370000.0,,,,-1099235370000.0,
Trả cổ tức (Thuyết minh 18),Trả cổ tức (Thuyết minh 18),Trả cổ tức (Thuyết minh 18),-,-,-,-,(1.099.263.178.500),(1.099.263.178.500),,,,,-1099263178500.0,-1099263178500.0
Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ,Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ,Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ,-,-,(454.500.000),-,454.500.000,-,,,-454500000.0,,454500000.0,
Phân bố vào các quỹ,Phân bố vào các quỹ,Phân bố vào các quỹ,-,-,-,201.583.806.769,(201.583.806.769),-,,,,201583806769.0,-201583806769.0,
"Phân bố vào quỹ khen thưởng, phúc lợi","Phân bố vào quỹ khen thưởng, phúc lợi","Phân bố vào quỹ khen thưởng, phúc lợi",-,-,-,-,(47.762.949.267),(47.762.949.267),,,,,-47762949267.0,-47762949267.0
Thủ lao thành viên Hội đồng Quản trị và Ban Kiểm soát,Thủ lao thành viên Hội đồng Quản trị và Ban Kiểm soát,Thủ lao thành viên Hội đồng Quản trị và Ban Kiểm soát,-,-,-,-,(90.000.000),(90.000.000),,,,,-90000000.0,-90000000.0
Biên động khác,Biên động khác,Biên động khác,-,-,-,-,8.559.274.516,8.559.274.516,,,,,8559274516.0,8559274516.0
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,8.428.749.560.000,674.149.437.068,(1.093.000.000),502.000.000.000,4.368.745.233.712,13.972.551.230.780,8428749560000.0,674149437068.0,-1093000000.0,502000000000.0,4368745233712.0,13972551230780.0
