row_label_raw,row_label_full,col_0,31/12/2016 > Tỷ lệ %sở hữu,31/12/2016 > Tỷ lệ %quyền biểu quyết,31/12/2016 > Giá gốcVND,31/12/2016 > Dự phòngVND,31/12/2016 > Giá trị hợp lýVND,1/1/2016 > Tỷ lệ %sở hữu,1/1/2016 > Tỷ lệ %quyền biểu quyết,1/1/2016 > Giá gốcVND,1/1/2016 > Dự phòngVND,Giá trị hợp lýVND,numeric__31/12/2016 > Tỷ lệ %sở hữu,numeric__31/12/2016 > Tỷ lệ %quyền biểu quyết,numeric__31/12/2016 > Giá gốcVND,numeric__31/12/2016 > Dự phòngVND,numeric__31/12/2016 > Giá trị hợp lýVND,numeric__1/1/2016 > Tỷ lệ %sở hữu,numeric__1/1/2016 > Tỷ lệ %quyền biểu quyết,numeric__1/1/2016 > Giá gốcVND,numeric__1/1/2016 > Dự phòngVND,numeric__Giá trị hợp lýVND
Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,,,,,,,,,,
• Công ty con,• Công ty con,• Công ty con,• Công ty con,• Công ty con,• Công ty con,• Công ty con,• Công ty con,• Công ty con,• Công ty con,• Công ty con,• Công ty con,• Công ty con,,,,,,,,,,
• Công ty TNHH Thiết bị Phụ tùng Hòa Phát,• Công ty con > • Công ty TNHH Thiết bị Phụ tùng Hòa Phát,• Công ty TNHH Thiết bị Phụ tùng Hòa Phát,"99,72%","99,72%",179.500.000.000,-,,"99,72%","99,72%",179.500.000.000,-,,0.9972,0.9972,179500000000.0,,,0.9972,0.9972,179500000000.0,,
• Công ty CP Nội thất Hòa Phát,• Công ty con > • Công ty CP Nội thất Hòa Phát,• Công ty CP Nội thất Hòa Phát,"99,60%","99,60%",398.400.000.000,-,,"99,60%","99,60%",398.400.000.000,-,,0.996,0.996,398400000000.0,,,0.996,0.996,398400000000.0,,
• Công ty TNHH Ông thép Hòa Phát (i),• Công ty con > • Công ty TNHH Ông thép Hòa Phát (i),• Công ty TNHH Ông thép Hòa Phát (i),"99,94%","99,94%",799.500.000.000,-,,"99,91%","99,91%",549.500.000.000,-,,0.9994,0.9994,799500000000.0,,,0.9991,0.9991,549500000000.0,,
• Công ty TNHH Điện lạnh Hòa Phát,• Công ty con > • Công ty TNHH Điện lạnh Hòa Phát,• Công ty TNHH Điện lạnh Hòa Phát,"99,67%","99,67%",149.500.000.000,-,,"99,67%","99,67%",149.500.000.000,-,,0.9967,0.9967,149500000000.0,,,0.9967,0.9967,149500000000.0,,
• Công ty CP Xây dựng và Phát triển Đô thị Hòa Phát,• Công ty con > • Công ty CP Xây dựng và Phát triển Đô thị Hòa Phát,• Công ty CP Xây dựng và Phát triển Đô thị Hòa Phát,"99,67%","99,67%",299.000.000.000,-,,"99,67%","99,67%",299.000.000.000,-,,0.9967,0.9967,299000000000.0,,,0.9967,0.9967,299000000000.0,,
• Công ty CP Thép Hòa Phát (ii),• Công ty con > • Công ty CP Thép Hòa Phát (ii),• Công ty CP Thép Hòa Phát (ii),"99,99%","99,99%",2.595.924.000.000,-,,"92,00%","92,00%",2.331.937.200.000,-,,0.9998999999999999,0.9998999999999999,2595924000000.0,,,0.92,0.92,2331937200000.0,,
• Công ty CP Đầu tư Khoảng sản An Thông,• Công ty con > • Công ty CP Đầu tư Khoảng sản An Thông,• Công ty CP Đầu tư Khoảng sản An Thông,"99,96%","99,96%",845.030.800.000,(93.386.346.727),,"99,96%","99,96%",845.030.800.000,(204.446.888.137),,0.9995999999999999,0.9995999999999999,845030800000.0,-93386346727.0,,0.9995999999999999,0.9995999999999999,845030800000.0,-204446888137.0,
• Công ty CP Golden Gain Việt Nam,• Công ty con > • Công ty CP Golden Gain Việt Nam,• Công ty CP Golden Gain Việt Nam,"99,94%","99,94%",960.539.226.533,-,,"99,94%","99,94%",960.539.226.533,-,,0.9994,0.9994,960539226533.0,,,0.9994,0.9994,960539226533.0,,
• Công ty CP Năng lượng Hòa Phát,• Công ty con > • Công ty CP Năng lượng Hòa Phát,• Công ty CP Năng lượng Hòa Phát,"99,89%","99,89%",1.238.350.000.000,-,,"99,89%","99,89%",1.238.350.000.000,-,,0.9989,0.9989,1238350000000.0,,,0.9989,0.9989,1238350000000.0,,
• Công ty TNHH MTV Thép Hòa Phát,• Công ty con > • Công ty TNHH MTV Thép Hòa Phát,• Công ty TNHH MTV Thép Hòa Phát,"100,00%","100,00%",600.000.000.000,-,,"100,00%","100,00%",600.000.000.000,-,,1.0,1.0,600000000000.0,,,1.0,1.0,600000000000.0,,
• Công ty CP Phát triển Nông nghiệp Hòa Phát (iii),• Công ty con > • Công ty CP Phát triển Nông nghiệp Hòa Phát (iii),• Công ty CP Phát triển Nông nghiệp Hòa Phát (iii),"99,99%","99,99%",2.092.500.000.000,-,,-,-,-,-,,0.9998999999999999,0.9998999999999999,2092500000000.0,,,,,,,
• Công ty TNHH MTV Tôn Hòa Phát (iii),• Công ty con > • Công ty TNHH MTV Tôn Hòa Phát (iii),• Công ty TNHH MTV Tôn Hòa Phát (iii),"100,00%","100,00%",1.000.000.000.000,-,,-,-,-,-,,1.0,1.0,1000000000000.0,,,,,,,
• Công ty TNHH MTV Chân nuôi Hòa Phát Đà Nẵng (trước đá ly “Công ty TNHH MTV Khoảng sản Nam Giang”) (iv),• Công ty con > • Công ty TNHH MTV Chân nuôi Hòa Phát Đà Nẵng (trước đá ly “Công ty TNHH MTV Khoảng sản Nam Giang”) (iv),• Công ty TNHH MTV Chân nuôi Hòa Phát Đà Nẵng (trước đá ly “Công ty TNHH MTV Khoảng sản Nam Giang”) (iv),-,-,-,-,,"100,00%","100,00%",30.000.000.000,-,,,,,,,1.0,1.0,30000000000.0,,
• Công ty TNHH Thương mại Hòa Phát (iv),• Công ty con > • Công ty TNHH Thương mại Hòa Phát (iv),• Công ty TNHH Thương mại Hòa Phát (iv),-,-,-,-,,"99,83%","99,83%",299.500.000.000,-,,,,,,,0.9983,0.9983,299500000000.0,,
• Công ty CP Phát triển Chân nuôi Hòa Phát (iv),• Công ty con > • Công ty CP Phát triển Chân nuôi Hòa Phát (iv),• Công ty CP Phát triển Chân nuôi Hòa Phát (iv),-,-,-,-,,"99,80%","99,80%",190.140.000.000,-,,,,,,,0.998,0.998,190140000000.0,,
• Công ty TNHH MTV Thức ăn Chân nuôi Hòa Phát Đồng Nai (iv),• Công ty con > • Công ty TNHH MTV Thức ăn Chân nuôi Hòa Phát Đồng Nai (iv),• Công ty TNHH MTV Thức ăn Chân nuôi Hòa Phát Đồng Nai (iv),-,-,-,-,,"100,00%","100,00%",64.843.316.100,-,,,,,,,1.0,1.0,64843316100.0,,
• Công ty TNHH MTV Thương mại và Sản xuất Thức ăn Chân nuôi Hòa Phát (iv),• Công ty con > • Công ty TNHH MTV Thương mại và Sản xuất Thức ăn Chân nuôi Hòa Phát (iv),• Công ty TNHH MTV Thương mại và Sản xuất Thức ăn Chân nuôi Hòa Phát (iv),-,-,-,-,,"100,00%","100,00%",300.000.000.000,-,,,,,,,1.0,1.0,300000000000.0,,
• Công ty TNHH Khoảng sản Hòa Phát Mitraco (v),• Công ty con > • Công ty TNHH Khoảng sản Hòa Phát Mitraco (v),• Công ty TNHH Khoảng sản Hòa Phát Mitraco (v),-,-,-,-,,"98,42%","98,42%",98.420.000.000,-,,,,,,,0.9842,0.9842,98420000000.0,,
,,,,,11.158.244.026.533,(93.386.346.727),,,,8.534.660.542.633,(204 446.888.137),,,,11158244026533.0,-93386346727.0,,,,8534660542633.0,,
• Công ty liên kết,• Công ty liên kết,• Công ty liên kết,• Công ty liên kết,• Công ty liên kết,• Công ty liên kết,• Công ty liên kết,• Công ty liên kết,• Công ty liên kết,• Công ty liên kết,• Công ty liên kết,• Công ty liên kết,• Công ty liên kết,,,,,,,,,,
• Công ty CP Khai khoáng Hòa Phát SSG,• Công ty liên kết > • Công ty CP Khai khoáng Hòa Phát SSG,• Công ty CP Khai khoáng Hòa Phát SSG,38%,38%,5.730.000.000,-,,38%,38%,5.730.000.000,-,,0.38,0.38,5730000000.0,,,0.38,0.38,5730000000.0,,
• Đơn vị khác,• Đơn vị khác,• Đơn vị khác,• Đơn vị khác,• Đơn vị khác,• Đơn vị khác,• Đơn vị khác,• Đơn vị khác,• Đơn vị khác,• Đơn vị khác,• Đơn vị khác,• Đơn vị khác,• Đơn vị khác,,,,,,,,,,
• Công ty CP Phát triển Đô thị Bắc Hà Nội,• Đơn vị khác > • Công ty CP Phát triển Đô thị Bắc Hà Nội,• Công ty CP Phát triển Đô thị Bắc Hà Nội,7%,7%,700.000.000,-,,7%,7%,700.000.000,-,,0.07,0.07,700000000.0,,,0.07,0.07,700000000.0,,
,,,,,11.164.674.026.533,(93.386.346.727),(*),,,8.541.090.542.633,(204 446.888.137),(*),,,11164674026533.0,-93386346727.0,,,,8541090542633.0,,
