row_label_raw,row_label_full,Đầu tư vào công ty con(Thuyết minh số 14.1),Số cuối năm > Giá gốc > 3.808.480.725.563,Số cuối năm > Dự phòng > (299.146.090.551),Số cuối năm > Giá trị hợp lý (i),Số đầu năm > Giá gốc > 3.995.728.676.794,Số đầu năm > Dự phòng > (364.480.365.118),Số đầu năm > Giá trị hợp lý (i),numeric__Số cuối năm > Giá gốc > 3.808.480.725.563,numeric__Số cuối năm > Dự phòng > (299.146.090.551),numeric__Số cuối năm > Giá trị hợp lý (i),numeric__Số đầu năm > Giá gốc > 3.995.728.676.794,numeric__Số đầu năm > Dự phòng > (364.480.365.118),numeric__Số đầu năm > Giá trị hợp lý (i)
- Công ty An Tiến,- Công ty An Tiến,- Công ty An Tiến,-,-,-,407.298.831.231,-,179.813.633.100,,,,407298831231.0,,179813633100.0
- Công ty An Phát Complex (iii),- Công ty An Phát Complex (iii),- Công ty An Phát Complex (iii),1.019.862.500.000,-,(i),921.840.000.000,-,(i),1019862500000.0,,,921840000000.0,,
- Công ty An Phát Complex 1,- Công ty An Phát Complex 1,- Công ty An Phát Complex 1,295.560.000.000,-,(i),295.560.000.000,-,(i),295560000000.0,,,295560000000.0,,
- Công ty An Vinh,- Công ty An Vinh,- Công ty An Vinh,461.395.540.000,-,(i),461.395.540.000,-,(i),461395540000.0,,,461395540000.0,,
"- An Phat International, Inc.","- An Phat International, Inc.","- An Phat International, Inc.",455.040.300.000,(259.820.352.936),(i),455.040.300.000,(277.996.654.065),(i),455040300000.0,-259820352936.0,,455040300000.0,-277996654065.0,
- Công ty PBAT (iv),- Công ty PBAT (iv),- Công ty PBAT (iv),70.861.200.000,(39.325.737.615),(i),92.020.000.000,(35.707.672.686),(i),70861200000.0,-39325737615.0,,92020000000.0,-35707672686.0,
- Công ty Nhựa Hà Nội (vii),- Công ty Nhựa Hà Nội (vii),- Công ty Nhựa Hà Nội (vii),1.505.761.185.563,-,895.041.147.000,1.188.162.005.563,-,601.386.609.300,1505761185563.0,,895041147000.0,1188162005563.0,,601386609300.0
- Công ty An Thành,- Công ty An Thành,- Công ty An Thành,-,-,-,174.412.000.000,(50.776.038.367),(i),,,,174412000000.0,-50776038367.0,
Đầu tư vào công ty liên kết (Thuyếtminh số 14.2),Đầu tư vào công ty liên kết (Thuyếtminh số 14.2),Đầu tư vào công ty liên kết (Thuyếtminh số 14.2),409.187.374.282,-,,128.709.199.227,-,,409187374282.0,,,128709199227.0,,
- Công ty An Tiến (ii),- Công ty An Tiến (ii),- Công ty An Tiến (ii),334.870.654.507,-,204.315.656.700,-,-,-,334870654507.0,,204315656700.0,,,
- Công ty Nhựa Bao bì Vinh,- Công ty Nhựa Bao bì Vinh,- Công ty Nhựa Bao bì Vinh,74.316.719.775,-,54.879.699.000,74.316.719.775,-,52.266.380.000,74316719775.0,,54879699000.0,74316719775.0,,52266380000.0
- Công ty Cổ phần Giải pháp vàDịch vụ phần mềm Nam Việt (vi),- Công ty Cổ phần Giải pháp vàDịch vụ phần mềm Nam Việt (vi),- Công ty Cổ phần Giải pháp vàDịch vụ phần mềm Nam Việt (vi),-,-,-,54.392.479.452,-,-,,,,54392479452.0,,
Đầu tư góp vốn vào đơn vị khác(Thuyết minh số 14.3),Đầu tư góp vốn vào đơn vị khác(Thuyết minh số 14.3),Đầu tư góp vốn vào đơn vị khác(Thuyết minh số 14.3),79.656.187,-,,-,-,,79656187.0,,,,,
- Công ty An Thành (v),- Công ty An Thành (v),- Công ty An Thành (v),79.656.187,-,(i),-,-,(i),79656187.0,,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.217.747.756.032,(299.146.090.551),,4.124.437.876.021,(364.480.365.118),,4217747756032.0,-299146090551.0,,4124437876021.0,-364480365118.0,
