row_label_raw,row_label_full,Phải trả bên liên quan (Thuyết minh số 30),Số cuối năm > 8.000.760.302,Đơn vị tính: VND > Số đầu năm > 1.350.376.827,numeric__Số cuối năm > 8.000.760.302,numeric__Đơn vị tính: VND > Số đầu năm > 1.350.376.827
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,128.392.143,109.328.043,128392143.0,109328043.0
Phải trả khác,Phải trả khác,Phải trả khác,1.690.268.905,1.067.982.356,1690268905.0,1067982356.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,9.819.421.350,2.527.687.226,9819421350.0,2527687226.0
