row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí vận chuyển và xuất nhập khẩu,Chi phí bán hàng > Chi phí vận chuyển và xuất nhập khẩu,Chi phí vận chuyển và xuất nhập khẩu,144.045.689.202,144.843.510.155,144045689202.0,144843510155.0
Chi phí quảng cáo và hoa hồng bán hàng,Chi phí bán hàng > Chi phí quảng cáo và hoa hồng bán hàng,Chi phí quảng cáo và hoa hồng bán hàng,63.958.525.754,73.229.224.099,63958525754.0,73229224099.0
Chi phí khấu hao tài sản cố định,Chi phí bán hàng > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,3.619.244.049,4.657.973.410,3619244049.0,4657973410.0
Chi phí nhân viên bán hàng,Chi phí bán hàng > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,7.927.174.824,7.761.239.837,7927174824.0,7761239837.0
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,8.515.077.064,9.537.773.480,8515077064.0,9537773480.0
Chi phí khác,Chi phí bán hàng > Chi phí khác,Chi phí khác,2.814.624.999,1.496.525.892,2814624999.0,1496525892.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,230.880.335.892,241.526.246.873,230880335892.0,241526246873.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,39.698.949.608,36.865.631.982,39698949608.0,36865631982.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,33.161.333.329,28.866.190.832,33161333329.0,28866190832.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,16.004.929.567,18.999.898.908,16004929567.0,18999898908.0
"Thuế, phí và lệ phí","Chi phí quản lý doanh nghiệp > Thuế, phí và lệ phí","Thuế, phí và lệ phí",6.002.391.683,7.668.255.786,6002391683.0,7668255786.0
Chi phí khác,Chi phí quản lý doanh nghiệp > Chi phí khác,Chi phí khác,6.838.201.780,10.132.384.324,6838201780.0,10132384324.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,101.705.805.967,102.532.361.832,101705805967.0,102532361832.0
