row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Công cụ, dụng cụ xuất dùng","Ngắn hạn > Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",740.950.213,968.403.817,740950213.0,968403817.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,1.849.346.082,1.399.057.169,1849346082.0,1399057169.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,2.590.296.295,2.367.460.986,2590296295.0,2367460986.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Tiền thuê đất trả trước,Dải hạn > Tiền thuê đất trả trước,Tiền thuê đất trả trước,233.955.555.428,240.709.372.880,233955555428.0,240709372880.0
Chi phí sửa chữa lớn,Dải hạn > Chi phí sửa chữa lớn,Chi phí sửa chữa lớn,27.649.752.229,24.470.438.503,27649752229.0,24470438503.0
"Công cụ, dụng cụ xuất dùng","Dải hạn > Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",20.493.400.000,10.891.418.782,20493400000.0,10891418782.0
Chi phí trả trước khác,Dải hạn > Chi phí trả trước khác,Chi phí trả trước khác,2.271.192.363,2.601.545.858,2271192363.0,2601545858.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,284.369.900.020,278.672.776.023,284369900020.0,278672776023.0
