row_label_raw,row_label_full,Cổ tức đã công bố và đã trả trong kỳ,Cổ tức đã công bố và đã trả trong kỳ_1,Cổ tức đã công bố và đã trả trong kỳ_2,numeric__Cổ tức đã công bố và đã trả trong kỳ_1,numeric__Cổ tức đã công bố và đã trả trong kỳ_2
Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,,
Cổ tức trả bằng tiền cho năm 2024: 300,Cổ tức trả bằng tiền cho năm 2024: 300,Cổ tức trả bằng tiền cho năm 2024: 300,Cổ tức trả bằng tiền cho năm 2024: 300,Cổ tức trả bằng tiền cho năm 2024: 300,,
VND/cổ phiếu,Cổ tức trả bằng tiền cho năm 2024: 300 > VND/cổ phiếu,VND/cổ phiếu,114.682.348.800,-,114682348800.0,
Cổ tức đã công bố sau ngày kết thúc kỳ kế toán và chưa được ghi nhận là nợ phải trả vào ngày 31 tháng 12 năm 2025,Cổ tức đã công bố sau ngày kết thúc kỳ kế toán và chưa được ghi nhận là nợ phải trả vào ngày 31 tháng 12 năm 2025,Cổ tức đã công bố sau ngày kết thúc kỳ kế toán và chưa được ghi nhận là nợ phải trả vào ngày 31 tháng 12 năm 2025,-,-,,
