row_label_raw,row_label_full,Bên liên quan > Công ty Nam Việt,Mối quan hệ > Công ty liên kết (đến ngày 28 tháng 04 năm 2025),Nội dung nghiệp vụ > Cổ tức được chiaNhận cổ tức bằng tiền,Năm nay > -441.000.000,Đơn vị tính: VNDNăm trước > 441.000.000-,numeric__Mối quan hệ > Công ty liên kết (đến ngày 28 tháng 04 năm 2025),numeric__Nội dung nghiệp vụ > Cổ tức được chiaNhận cổ tức bằng tiền,numeric__Năm nay > -441.000.000,numeric__Đơn vị tính: VNDNăm trước > 441.000.000-
Công ty Lương Điền Ngọc Liên,Công ty Lương Điền Ngọc Liên,Công ty Lương Điền Ngọc Liên,Công ty con,Cho vayThu hồi gốc vay,--,10.000.000.00010.000.000.000,,,,1.00000000001e+21
Công ty VMC,Công ty VMC,Công ty VMC,Công ty con (đến ngày 26 tháng 05 năm 2025),Mua tài sảnThanh toán tiền mua tài sản,----,200.000.000220.000.000,,,,2.0000000022e+17
Công ty Suất ăn An Phát,Công ty Suất ăn An Phát,Công ty Suất ăn An Phát,Công ty liên kết của công ty con (đến ngày 27 tháng 03 năm 2025)Bên liên quan khác (từ ngày 28 tháng 03 năm 2025),Mua dịch vụThanh toán tiền dịch vụDoanh thu bán hàng và cung cấp dịch vụThu tiền hàng và dịch vụ,21.488.468.80022.957.074.024238.301.640250.741.051,19.036.352.89520.099.468.567228.000.770259.160.132,,,2.148846880022957e+39,1.9036352895200994e+39
Công ty An Phát Complex 1,Công ty An Phát Complex 1,Công ty An Phát Complex 1,Công ty con,Thuê đấtThanh toán tiền thuê đấtCho vayThu hồi gốc vayThu tiền bán hàng và dịch vụDoanh thu bán hàng và cung cấp dịch vụ,--------185.000.000.000185.000.000.000170.060.000157.200.000,206.414.120.000224.757.332.87029.000.000.00029.000.000.000682.006.377620.807.016,,,,2.0641412000022476e+63
Công ty An Trung,Công ty An Trung,Công ty An Trung,Công ty con,Doanh thu bán hàng và cung cấp dịch vụNhận thanh toán tiền hàng và dịch vụThanh toán tiền hàngMua hàng,378.151.570408.991.569424.213.154467.389.157,1.664.044.2621.823.827.863274.555.988253.857.056,,,3.7815157040899156e+35,1.6640442621823828e+37
Công ty VIEXIM,Công ty VIEXIM,Công ty VIEXIM,Công ty con,Doanh thu bán hàngNhận thanh toán tiền hàng,133.877.300128.148.178,45.200.00050.215.680,,,1.3387730012814818e+17,4520000050215680.0
Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Tổng Giám đốc,Chi hộ,43.465.345,246.882.154,,,43465345.0,246882154.0
Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Lãnh đạo chủ chốt của công ty An Phát Holdings (tính đến ngày 09 tháng 10 năm 2024),Hoàn ứngTạm ứng,--------,6.035.131.5755.556.036.292,,,,6.035131575555604e+19
