row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
"An Phat International, Inc.","An Phat International, Inc.","An Phat International, Inc.",Công ty con,Bán hàng,39.617.490.290,-,,,39617490290.0,
Công ty An Cường,Công ty An Cường,Công ty An Cường,Công ty con,Bán hàng và cung cấp dịch vụ,21.800.640.332,149.313.780,,,21800640332.0,149313780.0
Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty liên kết của Công ty con (đến ngày 27 tháng 03 năm 2025),Bán hàng,6.350.792.580,-,,,6350792580.0,
Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty An Thành Singapore,Bên liên quan khác (từ ngày 28 tháng 03 năm 2025),,,,,,,
Công ty Sunrise,Công ty An Thành Singapore > Công ty Sunrise,Công ty Sunrise,Công ty liên kết của Công ty con (đến ngày 27 tháng 03 năm 2025),Bán hàng và cung cấp dịch vụ,3.149.592.131,-,,,3149592131.0,
Công ty AFC,Công ty An Thành Singapore > Công ty AFC,Công ty AFC,Công ty con,Bán hàng,2.478.480.953,-,,,2478480953.0,
Công ty An Vinh,Công ty An Thành Singapore > Công ty An Vinh,Công ty An Vinh,Công ty con,Bán hàng và cung cấp dịch vụ,669.281.614,-,,,669281614.0,
Công ty An Tiến,Công ty An Thành Singapore > Công ty An Tiến,Công ty An Tiến,Công ty con (đến ngày 27 tháng 03 năm 2025),Bán hàng và cung cấp dịch vụ,216.993.168,-,,,216993168.0,
Công ty An Tiến,Công ty An Tiến,Công ty An Tiến,Công ty liên kết (từ ngày 28 tháng 03 năm 2025),,,,,,,
Công ty Suất ăn An Phát,Công ty An Tiến > Công ty Suất ăn An Phát,Công ty Suất ăn An Phát,Công ty liên kết của công ty con (đến ngày 27 tháng 03 năm 2025),Bán hàng và cung cấp dịch vụ,17.131.900,8.639.400,,,17131900.0,8639400.0
Công ty Suất ăn An Phát,Công ty Suất ăn An Phát,Công ty Suất ăn An Phát,Bên liên quan khác (từ ngày 28 tháng 03 năm 2025),,,,,,,
