row_label_raw,row_label_full,Tên đơn vị,Địa chỉ,Hoạt động chính,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Địa chỉ,numeric__Hoạt động chính,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,,,Tỷ lệ vốn nấm giữ trực tiếp(%),Tỷ lệ quyền biểu quyết(%),Tỷ lệ vốn nấm giữ trực tiếp(%),Tỷ lệ quyền biểu quyết(%),,,,,,
Công ty Cổ phầnGiải pháp và Dịch vụ phần mềmNam Việt,Công ty Cổ phầnGiải pháp và Dịch vụ phần mềmNam Việt,Công ty Cổ phầnGiải pháp và Dịch vụ phần mềmNam Việt,"BT4 lô E9 Vimexco, đường PhạmHùng, phường Yên Hòa, thành phốHà Nội, Việt Nam",Xuất bản phần mềm,-,-,49%,49%,,,,,0.49,0.49
"Công ty Cổ phầnNhựa Bao bì Vinh(""Công ty NhựaBao bì Vinh"")","Công ty Cổ phầnNhựa Bao bì Vinh(""Công ty NhựaBao bì Vinh"")","Công ty Cổ phầnNhựa Bao bì Vinh(""Công ty NhựaBao bì Vinh"")","Khối 8, phường Trường Vinh, tỉnhNghệ An, Việt Nam","Sản xuất, kinh doanhnhựa và cao su tổng hợpdạng nguyên sinh","34,84%","34,84%","34,84%","34,84%",,,0.34840000000000004,0.34840000000000004,0.34840000000000004,0.34840000000000004
Công ty An Tiến,Công ty An Tiến,Công ty An Tiến,"Khu công nghiệp phía Nam,phường Văn Phú, tỉnh Lào Cai,Việt Nam","Sản xuất sản phẩm từnhựa plastic, sản xuấtphụ gia và bột đá","45,10%","45,10%",-,-,,,0.451,0.451,,
14.3 Đầu tư góp vốn vào đơn vị khácThông tin khoản đầu tư góp vốn vào đơn vị khác như sau:,14.3 Đầu tư góp vốn vào đơn vị khácThông tin khoản đầu tư góp vốn vào đơn vị khác như sau:,14.3 Đầu tư góp vốn vào đơn vị khácThông tin khoản đầu tư góp vốn vào đơn vị khác như sau:,14.3 Đầu tư góp vốn vào đơn vị khácThông tin khoản đầu tư góp vốn vào đơn vị khác như sau:,14.3 Đầu tư góp vốn vào đơn vị khácThông tin khoản đầu tư góp vốn vào đơn vị khác như sau:,14.3 Đầu tư góp vốn vào đơn vị khácThông tin khoản đầu tư góp vốn vào đơn vị khác như sau:,14.3 Đầu tư góp vốn vào đơn vị khácThông tin khoản đầu tư góp vốn vào đơn vị khác như sau:,14.3 Đầu tư góp vốn vào đơn vị khácThông tin khoản đầu tư góp vốn vào đơn vị khác như sau:,14.3 Đầu tư góp vốn vào đơn vị khácThông tin khoản đầu tư góp vốn vào đơn vị khác như sau:,,,,,,
Tên đơn vị,Tên đơn vị,Tên đơn vị,Địa chỉ,Hoạt động chính,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,,,
,,,,,Tỷ lệ vốn nấm giữ trực tiếp(%),Tỷ lệ quyềnbiểu quyết(%),Tỷ lệ vốn nấmguữ trực tiếp(%),Tỷ lệ quyềnbiểu quyết(%),,,,,,
Công ty An Thành,Tên đơn vị > Công ty An Thành,Công ty An Thành,"Khu công nghiệp Kỹ thuật caoAn Phát, Km 47, quốc lộ 5,phường Việt Hòa, thành phố HảiPhòng, Việt Nam","Bán buôn chuyên doanhhạt nhựa PP, PE, PS,PVS, ABS,...","0,03%","0,03%",-,-,,,0.0003,0.0003,,
