row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy tínhVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy tínhVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,244.583.078.000,65.639.492.850,310.222.570.850,244583078000.0,65639492850.0,310222570850.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,45.780.934.000,14.723.646.990,60.504.580.990,45780934000.0,14723646990.0,60504580990.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,290.364.012.000,80.363.139.840,370.727.151.840,290364012000.0,80363139840.0,370727151840.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.053.887.945,41.389.077.349,44.442.965.294,3053887945.0,41389077349.0,44442965294.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,417.061.560,12.286.307.032,12.703.368.592,417061560.0,12286307032.0,12703368592.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.470.949.505,53.675.384.381,57.146.333.886,3470949505.0,53675384381.0,57146333886.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,241.529.190.055,24.250.415.501,265.779.605.556,241529190055.0,24250415501.0,265779605556.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,286.893.062.495,26.687.755.459,313.580.817.954,286893062495.0,26687755459.0,313580817954.0
