row_label_raw,row_label_full,Chi tiêu,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay bằng USD (i),Vay bằng USD (i),Vay bằng USD (i),3.277.700.000.000,3.277.700.000.000,3.595.372.615.766,(1.428.560.000.000),5.444.512.615.766,5.444.512.615.766,3277700000000.0,3277700000000.0,3595372615766.0,-1428560000000.0,5444512615766.0,5444512615766.0
Vay bằng VND,Vay bằng VND,Vay bằng VND,1.415.919.513.502,1.415.919.513.502,1.072.372.546.084,(1.495.292.538.921),992.999.520.665,992.999.520.665,1415919513502.0,1415919513502.0,1072372546084.0,-1495292538921.0,992999520665.0,992999520665.0
Cộng,Cộng,Cộng,4.693.619.513.502,4.693.619.513.502,4.667.745.161.850,(2.923.852.538.921),6.437.512.136.431,6.437.512.136.431,4693619513502.0,4693619513502.0,4667745161850.0,-2923852538921.0,6437512136431.0,6437512136431.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Số phải trả trong vòng 12 tháng,Trong đó: > Số phải trả trong vòng 12 tháng,Số phải trả trong vòng 12 tháng,478.048.400.334,,,,,489.334.272.000,478048400334.0,,,,,489334272000.0
Số phải trả sau 12 tháng,Trong đó: > Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,4.215.571.113.168,,,,,5.948.177.864.431,4215571113168.0,,,,,5948177864431.0
