row_label_raw,row_label_full,Chủ sở hữu/Cổ đông,Theo Giấy chứng nhận đăng ký kinh doanh thay đổi lần thứ 16,Theo Giấy chứng nhận đăng ký kinh doanh thay đổi lần thứ 16_1,Vốn đã góp cuối năm,Vốn đã góp đầu năm,numeric__Theo Giấy chứng nhận đăng ký kinh doanh thay đổi lần thứ 16,numeric__Theo Giấy chứng nhận đăng ký kinh doanh thay đổi lần thứ 16_1,numeric__Vốn đã góp cuối năm,numeric__Vốn đã góp đầu năm
Chủ sở hữu/Cổ đông,Chủ sở hữu/Cổ đông,Chủ sở hữu/Cổ đông,VND,%,VND,VND,,,,
Tập đoàn Dầu khí Việt Nam,Chủ sở hữu/Cổ đông > Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,18.328.359.000.000,"95,76%",18.328.359.000.000,18.328.359.000.000,18328359000000.0,0.9576,18328359000000.0,18328359000000.0
Các cổ đông khác,Chủ sở hữu/Cổ đông > Các cổ đông khác,Các cổ đông khác,811.141.000.000,"4,24%",811.141.000.000,621.641.000.000,811141000000.0,0.0424,811141000000.0,621641000000.0
,,,19.139.500.000.000,100%,19.139.500.000.000,18.950.000.000.000,19139500000000.0,1.0,19139500000000.0,18950000000000.0
