row_label_raw,row_label_full,STT,Chi tiêu,Số đầu nămđã phát hànhVND,Trình bày lạiVND,Số đầu nămtrình bày lạiVND,numeric__Chi tiêu,numeric__Số đầu nămđã phát hànhVND,numeric__Trình bày lạiVND,numeric__Số đầu nămtrình bày lạiVND
1,1,1,Trả trước cho người bán ngắn hạn,854.538.838.422,(63.635.199.667),790.903.638.755,,854538838422.0,-63635199667.0,790903638755.0
2,2,2,Phải thu ngắn hạn khác,4.034.475.985.935,(54.356.678.856),3.980.119.307.079,,4034475985935.0,-54356678856.0,3980119307079.0
3,3,3,Trả trước cho người bán dài hạn,-,63.635.199.667,63.635.199.667,,,63635199667.0,63635199667.0
4,4,4,Phải thu dài hạn khác,1.273.650.000,54.356.678.856,55.630.328.856,,1273650000.0,54356678856.0,55630328856.0
