row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm trước như được trình bày lại,Số dư đầu năm trước như được trình bày lại,Số dư đầu năm trước như được trình bày lại,18.950.000.000.000,1.216.727.266,-,11.266.595.401.157,128.657.747.553,5.501.746.841.546,35.848.216.717.522,18950000000000.0,1216727266.0,,11266595401157.0,128657747553.0,5501746841546.0,35848216717522.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,8.720.127.134.455,8.720.127.134.455,,,,,,8720127134455.0,8720127134455.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(174.396.934.316),(174.396.934.316),,,,,,-174396934316.0,-174396934316.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,(3.220.476.719.000),(3.220.476.719.000),,,,,,-3220476719000.0,-3220476719000.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(40.111.223.937),-,-,,(40.111.223.937),,,-40111223937.0,,,,-40111223937.0
Khác,Khác,Khác,-,(795.000.000),-,-,-,,(795.000.000),,-795000000.0,,,,,-795000000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,18.950.000.000.000,421.727.266,(40.111.223.937),11.266.595.401.157,128.657.747.553,10.827.000.322.685,41.132.563.974.724,18950000000000.0,421727266.0,-40111223937.0,11266595401157.0,128657747553.0,10827000322685.0,41132563974724.0
Tăng vốn trong năm (i),Tăng vốn trong năm (i),Tăng vốn trong năm (i),189.500.000.000,189.500.000.000,-,-,-,-,379.000.000.000,189500000000.0,189500000000.0,,,,,379000000000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,7.110.493.250.947,7.110.493.250.947,,,,,,7110493250947.0,7110493250947.0
Trích quỹ đầu tư phát triển (ii),Trích quỹ đầu tư phát triển (ii),Trích quỹ đầu tư phát triển (ii),-,-,-,1.701.000.000.000,-,(1.701.000.000.000),-,,,,1701000000000.0,,-1701000000000.0,
"Trích quỹ khen thưởng, phúc lợi (ii)","Trích quỹ khen thưởng, phúc lợi (ii)","Trích quỹ khen thưởng, phúc lợi (ii)",-,-,-,-,-,(166.103.065.684),(166.103.065.684),,,,,,-166103065684.0,-166103065684.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,(9.184.070.736.000),(9.184.070.736.000),,,,,,-9184070736000.0,-9184070736000.0
Kết chuyển số dư các quỹ (iii),Kết chuyển số dư các quỹ (iii),Kết chuyển số dư các quỹ (iii),-,-,-,128.657.747.553,(128.657.747.553),-,-,,,,128657747553.0,-128657747553.0,,
Khác,Khác,Khác,-,(175.000.000),-,-,-,-,(175.000.000),,-175000000.0,,,,,-175000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,19.139.500.000.000,189.746.727.266,(40.111.223.937),13.096.253.148.710,-,6.886.319.771.948,39.271.708.423.987,19139500000000.0,189746727266.0,-40111223937.0,13096253148710.0,,6886319771948.0,39271708423987.0
