row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phường tiện vận tải và thiết bị truyền dẫn VND,Thiết bị văn phòng VND,Khác VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phường tiện vận tải và thiết bị truyền dẫn VND,numeric__Thiết bị văn phòng VND,numeric__Khác VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,4.684.407.222.056,735.391.479.714,124.384.430.424,219.764.878.708,25.771.036.786.259,31.534.984.797.161,4684407222056.0,735391479714.0,124384430424.0,219764878708.0,25771036786259.0,31534984797161.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,12.998.303.550,1.288.149.030,-,-,5.414.958.415.978,5.429.244.868.558,12998303550.0,1288149030.0,,,5414958415978.0,5429244868558.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,4.227.648.613,15.432.414.758,215.704.127,15.960.111.885,37.974.688.125,73.810.567.508,4227648613.0,15432414758.0,215704127.0,15960111885.0,37974688125.0,73810567508.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.548.605.657),(1.302.456.014),-,(1.634.593.339),(139.400.000),(7.625.055.010),-4548605657.0,-1302456014.0,,-1634593339.0,-139400000.0,-7625055010.0
Điều chính theo quyết toán,NGUYÊN GIÁ > Điều chính theo quyết toán,Điều chính theo quyết toán,-,-,-,(4.700.145.455),-,(4.700.145.455),,,,-4700145455.0,,-4700145455.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(56.971.159),56.971.159,(1.396.414.319),1.396.414.319,-,-,-56971159.0,56971159.0,-1396414319.0,1396414319.0,,
Khác,NGUYÊN GIÁ > Khác,Khác,-,-,-,(33.900.000),-,(33.900.000),,,,-33900000.0,,-33900000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,4.697.027.597.403,750.866.558.647,123.203.720.232,230.752.766.118,31.223.830.490.362,37.025.681.132.762,4697027597403.0,750866558647.0,123203720232.0,230752766118.0,31223830490362.0,37025681132762.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,2.005.368.986.854,393.804.274.329,103.536.069.241,114.428.632.774,18.096.554.625.997,20.713.692.589.195,2005368986854.0,393804274329.0,103536069241.0,114428632774.0,18096554625997.0,20713692589195.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,339.605.663.869,62.175.454.259,6.955.945.996,43.358.959.488,2.279.293.401.061,2.731.389.424.673,339605663869.0,62175454259.0,6955945996.0,43358959488.0,2279293401061.0,2731389424673.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.041.965.253),(1.234.791.506),-,(1.634.593.339),(122.295.699),(7.033.645.797),-4041965253.0,-1234791506.0,,-1634593339.0,-122295699.0,-7033645797.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,-,-,(88.439.574),88.439.574,-,-,,,-88439574.0,88439574.0,,
Khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Khác,Khác,-,-,-,(33.900.000),-,(33.900.000),,,,-33900000.0,,-33900000.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,2.340.932.685.470,454.744.937.082,110.403.575.663,156.207.538.497,20.375.725.731.359,23.438.014.468.071,2340932685470.0,454744937082.0,110403575663.0,156207538497.0,20375725731359.0,23438014468071.0
