row_label_raw,row_label_full,Tên công ty,Nơi thành lập và hoạt động,Tỷ lệ sở hữu,Tỷ lệ quyền biểu quyết,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ sở hữu,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động chính
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,
Công ty Cổ phần Kinh doanh Khí hóa lỏng Miền Nam (*),Công ty con > Công ty Cổ phần Kinh doanh Khí hóa lỏng Miền Nam (*),Công ty Cổ phần Kinh doanh Khí hóa lỏng Miền Nam (*),TP HCM,"35,26%","35,26%",Phân phối khí hóa lỏng,,0.35259999999999997,0.35259999999999997,
Công ty Cổ phần Kinh doanh Khí hóa lỏng Miền Bắc (*),Công ty con > Công ty Cổ phần Kinh doanh Khí hóa lỏng Miền Bắc (*),Công ty Cổ phần Kinh doanh Khí hóa lỏng Miền Bắc (*),Hà Nội,"35,88%","35,88%",Phân phối khí hóa lỏng,,0.3588,0.3588,
Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Công ty con > Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,TP HCM,"50,50%","50,50%",Phân phối khí thấp áp,,0.505,0.505,
Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty con > Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Vũng Tàu,"52,94%","52,94%",Kinh doanh dịch vụ bọc ốngSản xuất ống thép,,0.5294,0.5294,
Công ty Cổ phần Sản xuất ống thép Dầu khí Việt Nam,Công ty con > Công ty Cổ phần Sản xuất ống thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất ống thép Dầu khí Việt Nam,Tiền Giang,"99,99%","99,99%",Kinh doanh dịch vụ bọc ốngSản xuất ống thép,,0.9998999999999999,0.9998999999999999,
Công ty Cổ phần CNG Việt Nam,Công ty con > Công ty Cổ phần CNG Việt Nam,Công ty Cổ phần CNG Việt Nam,TP HCM,"56,00%","56,00%",Sản xuất khí thiên nhiên,,0.56,0.56,
Công ty Cổ phần LNG Việt Nam,Công ty con > Công ty Cổ phần LNG Việt Nam,Công ty Cổ phần LNG Việt Nam,TP HCM,"51,00%","51,00%",Sản xuất khí thiên nhiên,,0.51,0.51,
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,,
Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGAZPROM,Công ty liên doanh > Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGAZPROM,Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGAZPROM,TP HCM,"29,00%","50,00%",Kinh doanh khí,,0.29,0.5,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
Công ty Cổ phần Đầu tư Phát triển Gas đô thị,Công ty liên kết > Công ty Cổ phần Đầu tư Phát triển Gas đô thị,Công ty Cổ phần Đầu tư Phát triển Gas đô thị,Hà Nội,"35,51%","35,51%",Kinh doanh khí,,0.35509999999999997,0.35509999999999997,
