row_label_raw,row_label_full,col_0,Số cuối năm > VNDGiá trị,Số cuối năm > VNDSố có khả năng trả nợ,Số đầu năm > VNDGiá trị,Số đầu năm > VNDSố có khả năng trả nợ,numeric__Số cuối năm > VNDGiá trị,numeric__Số cuối năm > VNDSố có khả năng trả nợ,numeric__Số đầu năm > VNDGiá trị,numeric__Số đầu năm > VNDSố có khả năng trả nợ
Abu Dhabi National Oil Company (ADNOC),Abu Dhabi National Oil Company (ADNOC),Abu Dhabi National Oil Company (ADNOC),416.575.744.000,416.575.744.000,-,-,416575744000.0,416575744000.0,,
Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,249.073.129.875,249.073.129.875,163.289.237.049,163.289.237.049,249073129875.0,249073129875.0,163289237049.0,163289237049.0
Astomos Energy Corporation,Astomos Energy Corporation,Astomos Energy Corporation,225.430.046.339,225.430.046.339,252.881.638.200,252.881.638.200,225430046339.0,225430046339.0,252881638200.0,252881638200.0
Công ty TNHH MTV Lộc Hóa Dầu Bình Sơn,Công ty TNHH MTV Lộc Hóa Dầu Bình Sơn,Công ty TNHH MTV Lộc Hóa Dầu Bình Sơn,197.642.746.260,197.642.746.260,131.912.936.700,131.912.936.700,197642746260.0,197642746260.0,131912936700.0,131912936700.0
Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,178.006.615.026,178.006.615.026,268.570.470.013,268.570.470.013,178006615026.0,178006615026.0,268570470013.0,268570470013.0
Petredec International Pte Ltd,Petredec International Pte Ltd,Petredec International Pte Ltd,110.368.726.611,110.368.726.611,-,-,110368726611.0,110368726611.0,,
Công ty Shell International Eastern Trading,Công ty Shell International Eastern Trading,Công ty Shell International Eastern Trading,26.253.429.622,26.253.429.622,241.648.322.046,241.648.322.046,26253429622.0,26253429622.0,241648322046.0,241648322046.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,297.304.010.735,297.304.010.735,230.975.148.011,230.975.148.011,297304010735.0,297304010735.0,230975148011.0,230975148011.0
,,,1.700.654.448.468,1.700.654.448.468,1.289.277.752.019,1.289.277.752.019,1700654448468.0,1700654448468.0,1289277752019.0,1289277752019.0
Phải trả người bán là các bên liên quan (chi tiết trình bày tại Thuyết minh số 35),Phải trả người bán là các bên liên quan (chi tiết trình bày tại Thuyết minh số 35),Phải trả người bán là các bên liên quan (chi tiết trình bày tại Thuyết minh số 35),803.588.189.821,803.588.189.821,693.376.345.285,693.376.345.285,803588189821.0,803588189821.0,693376345285.0,693376345285.0
