row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúcVND","Phương tiệnvận tải,truyền dẫnVND","Thiết bị,dụng cụquản lýVND",CộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Phương tiệnvận tải,truyền dẫnVND","numeric__Thiết bị,dụng cụquản lýVND",numeric__CộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Tại ngày 01/01/2024,Nguyên giá: > Tại ngày 01/01/2024,Tại ngày 01/01/2024,3.646.591.259,8.531.348.852,3.003.779.066,15.181.719.177,3646591259.0,8531348852.0,3003779066.0,15181719177.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,2.111.627.273,80.000.000,2.191.627.273,,2111627273.0,80000000.0,2191627273.0
"Thanh lý,nhuống bán","Nguyên giá: > Thanh lý,nhuống bán","Thanh lý,nhuống bán",-,(3.549.240.000),-,(3.549.240.000),,-3549240000.0,,-3549240000.0
Tại ngày 31/12/2024,Nguyên giá: > Tại ngày 31/12/2024,Tại ngày 31/12/2024,3.646.591.259,7.093.736.125,3.083.779.066,13.824.106.450,3646591259.0,7093736125.0,3083779066.0,13824106450.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Tại ngày 01/01/2024,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2024,Tại ngày 01/01/2024,3.646.591.259,6.170.546.257,2.537.049.500,12.354.187.016,3646591259.0,6170546257.0,2537049500.0,12354187016.0
Khấu hao trong nấm,Giá trị hao mòn lũy kế: > Khấu hao trong nấm,Khấu hao trong nấm,-,683.988.326,262.643.272,946.631.598,,683988326.0,262643272.0,946631598.0
"Thanh lý,nhuống bán","Giá trị hao mòn lũy kế: > Thanh lý,nhuống bán","Thanh lý,nhuống bán",-,(3.549.240.000),-,(3.549.240.000),,-3549240000.0,,-3549240000.0
Tại ngày 31/12/2024,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2024,Tại ngày 31/12/2024,3.646.591.259,3.305.294.583,2.799.692.772,9.751.578.614,3646591259.0,3305294583.0,2799692772.0,9751578614.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Tại ngày 01/01/2024,Giá trị còn lại: > Tại ngày 01/01/2024,Tại ngày 01/01/2024,-,2.360.802.595,466.729.566,2.827.532.161,,2360802595.0,466729566.0,2827532161.0
Tại ngày 31/12/2024,Giá trị còn lại: > Tại ngày 31/12/2024,Tại ngày 31/12/2024,-,3.788.441.542,284.086.294,4.072.527.836,,3788441542.0,284086294.0,4072527836.0
