row_label_raw,row_label_full,CHÌ TIÊU,Mã số,TM,Năm 2024,Năm 2023,numeric__Mã số,numeric__TM,numeric__Năm 2024,numeric__Năm 2023
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1,5.1,265.986.579.231,161.238.230.440,1.0,51.0,265986579231.0,161238230440.0
2. Doanh thu thuần về bán hàng và cung cấp dịch vụ,2. Doanh thu thuần về bán hàng và cung cấp dịch vụ,2. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,265.986.579.231,161.238.230.440,10.0,,265986579231.0,161238230440.0
3. Giá vốn hàng bán,3. Giá vốn hàng bán,3. Giá vốn hàng bán,11,5.2,183.152.718.811,59.431.804.999,11.0,52.0,183152718811.0,59431804999.0
4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,82.833.860.420,101.806.425.441,20.0,,82833860420.0,101806425441.0
5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính,21,5.3,505.120.711.943,463.782.068.871,21.0,53.0,505120711943.0,463782068871.0
6. Chi phí tài chính,6. Chi phí tài chính,6. Chi phí tài chính,22,5.4,2.803.835.943,41.161.815.629,22.0,54.0,2803835943.0,41161815629.0
"Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay",23,,2.822.772.603,121.972.603,23.0,,2822772603.0,121972603.0
7. Chi phí bán hàng,7. Chi phí bán hàng,7. Chi phí bán hàng,25,,1.765.383.567,3.021.716.928,25.0,,1765383567.0,3021716928.0
8. Chi phí quản lý doanh nghiệp,8. Chi phí quản lý doanh nghiệp,8. Chi phí quản lý doanh nghiệp,26,5.5,59.916.539.623,55.777.247.081,26.0,55.0,59916539623.0,55777247081.0
9. Lợi nhuận thuần từ hoạt động kinh doanh,9. Lợi nhuận thuần từ hoạt động kinh doanh,9. Lợi nhuận thuần từ hoạt động kinh doanh,30,,523.468.813.230,465.627.714.674,30.0,,523468813230.0,465627714674.0
10. Thu nhập khác,10. Thu nhập khác,10. Thu nhập khác,31,,1.909.774.414,5.173.961.425,31.0,,1909774414.0,5173961425.0
11. Chi phí khác,11. Chi phí khác,11. Chi phí khác,32,,18.383.387,142.109.744,32.0,,18383387.0,142109744.0
12. Lợi nhuận khác,12. Lợi nhuận khác,12. Lợi nhuận khác,40,,1.891.391.027,5.031.851.681,40.0,,1891391027.0,5031851681.0
13. Tổng lợi nhuận kế toán trước thuế,13. Tổng lợi nhuận kế toán trước thuế,13. Tổng lợi nhuận kế toán trước thuế,50,,525.360.204.257,470.659.566.355,50.0,,525360204257.0,470659566355.0
14. Chi phí thuế TNDN hiện hành,14. Chi phí thuế TNDN hiện hành,14. Chi phí thuế TNDN hiện hành,51,5.7,10.036.908.920,19.838.707.613,51.0,57.0,10036908920.0,19838707613.0
15. Lợi nhuận sau thuế thu nhập doanh nghiệp,15. Lợi nhuận sau thuế thu nhập doanh nghiệp,15. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,515.323.295.337,450.820.858.742,60.0,,515323295337.0,450820858742.0
