row_label_raw,row_label_full,col_0,Các khoản mục thuộc vốn chủ sở hữu,Các khoản mục thuộc vốn chủ sở hữu_1,Các khoản mục thuộc vốn chủ sở hữu_2,Các khoản mục thuộc vốn chủ sở hữu_3,Các khoản mục thuộc vốn chủ sở hữu_4,numeric__Các khoản mục thuộc vốn chủ sở hữu,numeric__Các khoản mục thuộc vốn chủ sở hữu_1,numeric__Các khoản mục thuộc vốn chủ sở hữu_2,numeric__Các khoản mục thuộc vốn chủ sở hữu_3,numeric__Các khoản mục thuộc vốn chủ sở hữu_4
,,,Vốn góp của chủ sở hữu VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Cộng VND,,,,,
Tại ngày 01/01/2023,Tại ngày 01/01/2023,Tại ngày 01/01/2023,3.765.000.000.000,(90.100.000),86.099.384.228,521.110.966.444,4.372.120.250.672,3765000000000.0,-90100000.0,86099384228.0,521110966444.0,4372120250672.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,450.820.858.742,450.820.858.742,,,,450820858742.0,450820858742.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(414.140.980.000),(414.140.980.000),,,,-414140980000.0,-414140980000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,31.873.206.925,(31.873.206.925),-,,,31873206925.0,-31873206925.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,(6.536.418.000),(6.536.418.000),,,,-6536418000.0,-6536418000.0
Tại ngày 01/01/2024,Tại ngày 01/01/2024,Tại ngày 01/01/2024,3.765.000.000.000,(90.100.000),117.972.591.153,519.381.220.261,4.402.263.711.414,3765000000000.0,-90100000.0,117972591153.0,519381220261.0,4402263711414.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,515.323.295.337,515.323.295.337,,,,515323295337.0,515323295337.0
Chia cổ tức (a),Chia cổ tức (a),Chia cổ tức (a),-,-,-,(451.790.160.000),(451.790.160.000),,,,-451790160000.0,-451790160000.0
Trích quỹ đầu tư phát triển (a),Trích quỹ đầu tư phát triển (a),Trích quỹ đầu tư phát triển (a),-,-,22.540.120.000,(22.540.120.000),-,,,22540120000.0,-22540120000.0,
Trích quỹ khen thưởng phúc lợi (a),Trích quỹ khen thưởng phúc lợi (a),Trích quỹ khen thưởng phúc lợi (a),-,-,-,(4.505.743.000),(4.505.743.000),,,,-4505743000.0,-4505743000.0
"Tam trích quỹ khen thưởng, phúc lợi (b)","Tam trích quỹ khen thưởng, phúc lợi (b)","Tam trích quỹ khen thưởng, phúc lợi (b)",-,-,-,(3.550.410.000),(3.550.410.000),,,,-3550410000.0,-3550410000.0
Hoàn nhập quỹ công tác xã hội cộng đồng (c),Hoàn nhập quỹ công tác xã hội cộng đồng (c),Hoàn nhập quỹ công tác xã hội cộng đồng (c),-,-,-,8.381.355.750,8.381.355.750,,,,8381355750.0,8381355750.0
Tại ngày 31/12/2024,Tại ngày 31/12/2024,Tại ngày 31/12/2024,3.765.000.000.000,(90.100.000),140.512.711.153,560.699.438.348,4.466.122.049.501,3765000000000.0,-90100000.0,140512711153.0,560699438348.0,4466122049501.0
