row_label_raw,row_label_full,col_0,"Máy móc,thiết bịVND","Phương tiện vântài, truyền dẫnVND","Thiết bị, dụng cụquản lýVND",Tổng cộngVND,"numeric__Máy móc,thiết bịVND","numeric__Phương tiện vântài, truyền dẫnVND","numeric__Thiết bị, dụng cụquản lýVND",numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư tại 01/01/2017,NGUYÊN GIÁ > Số dư tại 01/01/2017,Số dư tại 01/01/2017,39.000.000,18.917.733.118,1.498.778.301,20.455.511.419,39000000.0,18917733118.0,1498778301.0,20455511419.0
Mua trong kỳ,NGUYÊN GIÁ > Mua trong kỳ,Mua trong kỳ,-,1.413.005.454,141.080.000,1.554.085.454,,1413005454.0,141080000.0,1554085454.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(7.972.353.910),-,(7.972.353.910),,-7972353910.0,,-7972353910.0
Số dư tại 31/12/2017,NGUYÊN GIÁ > Số dư tại 31/12/2017,Số dư tại 31/12/2017,246.850.012,12.358.384.662,942.206.542,13.547.441.216,246850012.0,12358384662.0,942206542.0,13547441216.0
GIÁ TRI HAO MÒN,GIÁ TRI HAO MÒN,GIÁ TRI HAO MÒN,GIÁ TRI HAO MÒN,GIÁ TRI HAO MÒN,GIÁ TRI HAO MÒN,GIÁ TRI HAO MÒN,,,,
Số dư tại 01/01/2017,GIÁ TRI HAO MÒN > Số dư tại 01/01/2017,Số dư tại 01/01/2017,39.000.000,5.891.550.762,1.450.489.326,7.381.040.088,39000000.0,5891550762.0,1450489326.0,7381040088.0
Khấu hao trong kỳ,GIÁ TRI HAO MÒN > Khấu hao trong kỳ,Khấu hao trong kỳ,82.877.060,2.500.405.143,27.342.432,2.610.624.635,82877060.0,2500405143.0,27342432.0,2610624635.0
"Thanh lý, nhượng bán","GIÁ TRI HAO MÒN > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.454.599.553),-,(4.454.599.553),,-4454599553.0,,-4454599553.0
Số dư tại 31/12/2017,GIÁ TRI HAO MÒN > Số dư tại 31/12/2017,Số dư tại 31/12/2017,95.456.547,3.937.356.352,786.314.999,4.819.127.898,95456547.0,3937356352.0,786314999.0,4819127898.0
GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,,,,
Số dư tại 01/01/2017,GIÁ TRI CÒN LẠI > Số dư tại 01/01/2017,Số dư tại 01/01/2017,-,13.026.182.356,48.288.975,13.074.471.331,,13026182356.0,48288975.0,13074471331.0
Số dư tại 31/12/2017,GIÁ TRI CÒN LẠI > Số dư tại 31/12/2017,Số dư tại 31/12/2017,151.393.465,8.421.028.310,155.891.543,8.728.313.318,151393465.0,8421028310.0,155891543.0,8728313318.0
