row_label_raw,row_label_full,TT,Tên công ty liên kết,31/12/2017,31/12/2017_1,31/12/2017_2,01/01/2017,01/01/2017_1,01/01/2017_2,numeric__Tên công ty liên kết,numeric__31/12/2017,numeric__31/12/2017_1,numeric__31/12/2017_2,numeric__01/01/2017,numeric__01/01/2017_1,numeric__01/01/2017_2
TT,TT,TT,Tên công ty liên kết,Số lượngCP,Tỷ lệsở hữu%,Tỷ lệbiểu quyết%,Số lượngCP,Tỷ lệsở hữu%,Tỷ lệbiểu quyết%,,,,,,,
1,TT > 1,1,Công ty CP ĐT BOT Hà Nội - Bắc Giang,16.378.640,33%,33%,16.378.640,33%,33%,,16378640.0,0.33,0.33,16378640.0,0.33,0.33
2,TT > 2,2,Công ty CP In và Văn hóa phẩm,3.369.327,"46,77%","46,77%",3.369.327,"46,77%","46,77%",,3369327.0,0.4677,0.4677,3369327.0,0.4677,0.4677
3,TT > 3,3,Công ty CP Tài nguyên và Môi trường Trường Minh (i),1.050.000,"67,74%",35%,910.000,"64,54%",35%,,1050000.0,0.6774,0.35,910000.0,0.6454000000000001,0.35
4,TT > 4,4,Công ty CP Đầu tư Văn Phú - IPS,-,0%,0%,160.000,"44,44%",40%,,,0.0,0.0,160000.0,0.44439999999999996,0.4
5,TT > 5,5,Công ty CP Đầu tư và Phát triển Thương mại Văn Phú,965.300,35%,35%,-,0%,0%,,965300.0,0.35,0.35,,0.0,0.0
