row_label_raw,row_label_full,col_0,Số phải thu cuối kỳ VND,Số phải nộp cuối kỳ VND,Số đã thực nộp trong kỳ VND,Số phải nộp trong kỳ VND,Số phải thu đầu kỳ VND,Số phải nộp đầu kỳ VND,numeric__Số phải thu cuối kỳ VND,numeric__Số phải nộp cuối kỳ VND,numeric__Số đã thực nộp trong kỳ VND,numeric__Số phải nộp trong kỳ VND,numeric__Số phải thu đầu kỳ VND,numeric__Số phải nộp đầu kỳ VND
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,9.611.275.750,181.617.776,-,-,9.792.893.526,,9611275750.0,181617776.0,,,9792893526.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,255.183.305,61.153.688.976,73.295.431.859,104.237.479.551,68.372.284,30.024.830.263,255183305.0,61153688976.0,73295431859.0,104237479551.0,68372284.0,30024830263.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,6.395.710.775,5.602.305.386,11.981.142.110,16.707.522,33.581.573,,6395710775.0,5602305386.0,11981142110.0,16707522.0,33581573.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,-,433.376.262,433.376.262,-,-,,,433376262.0,433376262.0,,
"Phí, lệ phí và các khoản khác","Phí, lệ phí và các khoản khác","Phí, lệ phí và các khoản khác",-,-,12.431.317.660,11.847.022.733,-,584.294.927,,,12431317660.0,11847022733.0,,584294927.0
Cộng,Cộng,Cộng,255.183.305,77.160.675.501,91.944.048.943,128.499.020.656,85.079.806,40.435.600.289,255183305.0,77160675501.0,91944048943.0,128499020656.0,85079806.0,40435600289.0
5.15 Vay và nợ thuê tài chính,5.15 Vay và nợ thuê tài chính,5.15 Vay và nợ thuê tài chính,5.15 Vay và nợ thuê tài chính,5.15 Vay và nợ thuê tài chính,5.15 Vay và nợ thuê tài chính,5.15 Vay và nợ thuê tài chính,5.15 Vay và nợ thuê tài chính,5.15 Vay và nợ thuê tài chính,,,,,,
5.15.1 Vay ngắn hạn,5.15.1 Vay ngắn hạn,5.15.1 Vay ngắn hạn,5.15.1 Vay ngắn hạn,5.15.1 Vay ngắn hạn,5.15.1 Vay ngắn hạn,5.15.1 Vay ngắn hạn,5.15.1 Vay ngắn hạn,5.15.1 Vay ngắn hạn,,,,,,
,,,31/12/2017,31/12/2017,Trong kỳ,Trong kỳ,01/01/2017,01/01/2017,,,,,,
,,,Giá trị VND,Số có khả năng trả nợ VND,Tăng VND,Giảm VND,Giá trị VND,Số có khả năng trả nợ VND,,,,,,
Ngân hàng TNHH Indovina - CN Thiên Long (i),5.15.1 Vay ngắn hạn > Ngân hàng TNHH Indovina - CN Thiên Long (i),Ngân hàng TNHH Indovina - CN Thiên Long (i),250.998.170.592,250.998.170.592,917.603.823.644,992.769.262.256,326.163.609.204,326.163.609.204,250998170592.0,250998170592.0,917603823644.0,992769262256.0,326163609204.0,326163609204.0
Ngân hàng TMCP Kỹ thương Việt Nam - CN Thăng Long (ii),5.15.1 Vay ngắn hạn > Ngân hàng TMCP Kỹ thương Việt Nam - CN Thăng Long (ii),Ngân hàng TMCP Kỹ thương Việt Nam - CN Thăng Long (ii),77.926.247.028,77.926.247.028,135.832.108.028,189.699.355.000,131.793.494.000,131.793.494.000,77926247028.0,77926247028.0,135832108028.0,189699355000.0,131793494000.0,131793494000.0
Tô Như Toàn,5.15.1 Vay ngắn hạn > Tô Như Toàn,Tô Như Toàn,-,-,83.000.000.000,83.000.000.000,-,-,,,83000000000.0,83000000000.0,,
Tô Như Thắng,5.15.1 Vay ngắn hạn > Tô Như Thắng,Tô Như Thắng,-,-,24.050.000.000,24.200.000.000,150.000.000,150.000.000,,,24050000000.0,24200000000.0,150000000.0,150000000.0
Vay đối tượng khác,5.15.1 Vay ngắn hạn > Vay đối tượng khác,Vay đối tượng khác,5.000.000.000,5.000.000.000,19.057.195.250,103.470.284.271,89.413.089.021,89.413.089.021,5000000000.0,5000000000.0,19057195250.0,103470284271.0,89413089021.0,89413089021.0
Cộng,5.15.1 Vay ngắn hạn > Cộng,Cộng,333.924.417.620,333.924.417.620,1.179.543.126.922,1.393.138.901.527,547.520.192.225,547.520.192.225,333924417620.0,333924417620.0,1179543126922.0,1393138901527.0,547520192225.0,547520192225.0
