row_label_raw,row_label_full,5.15.2 Vay dài hạn,5.15.2 Vay dài hạn_1,5.15.2 Vay dài hạn_2,5.15.2 Vay dài hạn_3,5.15.2 Vay dài hạn_4,5.15.2 Vay dài hạn_5,5.15.2 Vay dài hạn_6,numeric__5.15.2 Vay dài hạn_1,numeric__5.15.2 Vay dài hạn_2,numeric__5.15.2 Vay dài hạn_3,numeric__5.15.2 Vay dài hạn_4,numeric__5.15.2 Vay dài hạn_5,numeric__5.15.2 Vay dài hạn_6
,,,31/12/2017,31/12/2017,Trong kỳ,Trong kỳ,01/01/2017,01/01/2017,,,,,,
,,,Giá trịVND,Số có khảnăng trả nợVND,TăngVND,GiảmVND,Giá trịVND,Số có khảnăng trả nợVND,,,,,,
Ngân hàng TMCP Ngoại thương Việt Nam - CNThủ Thiêm và Ngân hàng TNHH Indovina - CNThiên Long (iii),Ngân hàng TMCP Ngoại thương Việt Nam - CNThủ Thiêm và Ngân hàng TNHH Indovina - CNThiên Long (iii),Ngân hàng TMCP Ngoại thương Việt Nam - CNThủ Thiêm và Ngân hàng TNHH Indovina - CNThiên Long (iii),10.788.243.552,10.788.243.552,10.788.243.552,-,-,-,10788243552.0,10788243552.0,10788243552.0,,,
Ngân hàng TNHH Indovina - CN Thiên Long (iv),Ngân hàng TNHH Indovina - CN Thiên Long (iv),Ngân hàng TNHH Indovina - CN Thiên Long (iv),268.219.845.473,268.219.845.473,268.219.845.473,-,-,-,268219845473.0,268219845473.0,268219845473.0,,,
Tô Như Toàn,Tô Như Toàn,Tô Như Toàn,-,-,-,31.923.508.000,31.923.508.000,31.923.508.000,,,,31923508000.0,31923508000.0,31923508000.0
Tô Như Thắng,Tô Như Thắng,Tô Như Thắng,-,-,-,27.500.000.000,27.500.000.000,27.500.000.000,,,,27500000000.0,27500000000.0,27500000000.0
Trần Thị Hồng Minh,Trần Thị Hồng Minh,Trần Thị Hồng Minh,-,-,32.000.000.000,32.000.000.000,-,-,,,32000000000.0,32000000000.0,,
Cộng,Cộng,Cộng,279.008.089.025,279.008.089.025,311.008.089.025,91.423.508.000,59.423.508.000,59.423.508.000,279008089025.0,279008089025.0,311008089025.0,91423508000.0,59423508000.0,59423508000.0
5.15.3 Vay các bên liên quan,5.15.3 Vay các bên liên quan,5.15.3 Vay các bên liên quan,5.15.3 Vay các bên liên quan,5.15.3 Vay các bên liên quan,5.15.3 Vay các bên liên quan,5.15.3 Vay các bên liên quan,5.15.3 Vay các bên liên quan,5.15.3 Vay các bên liên quan,,,,,,
,,,31/12/2017,31/12/2017,Trong năm,Trong năm,01/01/2017,01/01/2017,,,,,,
,,,Giá trịVND,Số có khảnăng trả nợVND,TăngVND,GiảmVND,Giá trịVND,Số có khảnăng trả nợVND,,,,,,
Tô Như Toàn,5.15.3 Vay các bên liên quan > Tô Như Toàn,Tô Như Toàn,-,-,83.000.000.000,114.923.508.000,31.923.508.000,31.923.508.000,,,83000000000.0,114923508000.0,31923508000.0,31923508000.0
Tô Như Thắng,5.15.3 Vay các bên liên quan > Tô Như Thắng,Tô Như Thắng,-,-,24.050.000.000,51.700.000.000,27.650.000.000,27.650.000.000,,,24050000000.0,51700000000.0,27650000000.0,27650000000.0
Cộng,5.15.3 Vay các bên liên quan > Cộng,Cộng,-,-,107.050.000.000,166.623.508.000,59.573.508.000,59.573.508.000,,,107050000000.0,166623508000.0,59573508000.0,59573508000.0
