row_label_raw,row_label_full,Chỉ tiêu,Chỉ tiêu_1,Mã số,TM,Năm 2017,Đơn vị tính: VND > Năm 2016,numeric__Chỉ tiêu_1,numeric__Mã số,numeric__TM,numeric__Năm 2017,numeric__Đơn vị tính: VND > Năm 2016
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,6.1,875.449.367.754,773.730.795.380,,1.0,61.0,875449367754.0,773730795380.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,-,1.626.530.304,,2.0,,,1626530304.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,875.449.367.754,772.104.265.076,,10.0,,875449367754.0,772104265076.0
4.,4.,4.,Giá vốn hàng bán,11,6.2,418.689.095.089,672.176.422.868,,11.0,62.0,418689095089.0,672176422868.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,456.760.272.665,99.927.842.208,,20.0,,456760272665.0,99927842208.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,6.3,75.629.968.273,2.058.095.413,,21.0,63.0,75629968273.0,2058095413.0
7.,7.,7.,Chi phí tài chính,22,6.4,26.597.116.292,19.261.213.689,,22.0,64.0,26597116292.0,19261213689.0
,,,Trong đó: Chi phí lãi vay,23,,26.597.116.292,19.261.213.689,,23.0,,26597116292.0,19261213689.0
8.,8.,8.,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,20.359.545.994,(15.658.725.401),,24.0,,20359545994.0,-15658725401.0
9.,9.,9.,Chi phí bán hàng,25,6.5,-,2.281.949.493,,25.0,65.0,,2281949493.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,6.6,52.993.550.101,31.897.683.635,,26.0,66.0,52993550101.0,31897683635.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,473.159.120.539,32.886.365.403,,30.0,,473159120539.0,32886365403.0
12.,12.,12.,Thu nhập khác,31,6.7,80.722.152.754,1.657.427.730,,31.0,67.0,80722152754.0,1657427730.0
13.,13.,13.,Chi phí khác,32,6.8,31.112.075.496,5.369.547.026,,32.0,68.0,31112075496.0,5369547026.0
14.,14.,14.,Lợi nhuận khác,40,,49.610.077.258,(3.712.119.296),,40.0,,49610077258.0,-3712119296.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế,50,,522.769.197.797,29.174.246.107,,50.0,,522769197797.0,29174246107.0
16.,16.,16.,Chi phí thuế TNDN hiện hành,51,6.9,103.888.652.420,7.222.700.653,,51.0,69.0,103888652420.0,7222700653.0
17.,17.,17.,Chi phí thuế TNDN hoãn lại,52,,-,-,,52.0,,,
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,418.880.545.377,21.951.545.454,,60.0,,418880545377.0,21951545454.0
,,,- LNST của cổ đông của công ty mẹ,61,,421.717.864.462,17.895.888.044,,61.0,,421717864462.0,17895888044.0
,,,- LNST của cổ đông không kiểm soát,62,,(2.837.319.085),4.055.657.410,,62.0,,-2837319085.0,4055657410.0
19.,19.,19.,Lãi cơ bản trên cổ phiếu,70,6.10,4.303,683,,70.0,610.0,4303.0,683.0
20.,20.,20.,Lãi suy giảm trên cổ phiếu,71,6.10,4.303,683,,71.0,610.0,4303.0,683.0
