row_label_raw,row_label_full,col_0,Năm 2017VND,numeric__Năm 2017VND
Công ty CP Tài nguyên và Môi trường Trường Minh,Công ty CP Tài nguyên và Môi trường Trường Minh,Công ty CP Tài nguyên và Môi trường Trường Minh,Công ty CP Tài nguyên và Môi trường Trường Minh,
Góp vốn điều lệ,Công ty CP Tài nguyên và Môi trường Trường Minh > Góp vốn điều lệ,Góp vốn điều lệ,1.400.000.000,1400000000.0
Góp vốn hợp tác kinh doanh,Công ty CP Tài nguyên và Môi trường Trường Minh > Góp vốn hợp tác kinh doanh,Góp vốn hợp tác kinh doanh,6.000.000.000,6000000000.0
Thu phí hoạt động văn phòng,Công ty CP Tài nguyên và Môi trường Trường Minh > Thu phí hoạt động văn phòng,Thu phí hoạt động văn phòng,31.834.709,31834709.0
Trả tiền tư vấn xây dựng,Công ty CP Tài nguyên và Môi trường Trường Minh > Trả tiền tư vấn xây dựng,Trả tiền tư vấn xây dựng,203.099.000,203099000.0
Công ty CP Đầu tư và Phát triển thương mại Văn Phú,Công ty CP Đầu tư và Phát triển thương mại Văn Phú,Công ty CP Đầu tư và Phát triển thương mại Văn Phú,Công ty CP Đầu tư và Phát triển thương mại Văn Phú,
Nhận chuyển nhượng cổ phần,Công ty CP Đầu tư và Phát triển thương mại Văn Phú > Nhận chuyển nhượng cổ phần,Nhận chuyển nhượng cổ phần,278.006.400.000,278006400000.0
Thu phí dịch vụ vận hành,Công ty CP Đầu tư và Phát triển thương mại Văn Phú > Thu phí dịch vụ vận hành,Thu phí dịch vụ vận hành,1.128.850.289,1128850289.0
Công ty CP Đầu tư THG Holdings,Công ty CP Đầu tư THG Holdings,Công ty CP Đầu tư THG Holdings,Công ty CP Đầu tư THG Holdings,
Thu tiền góp vốn điều lệ,Công ty CP Đầu tư THG Holdings > Thu tiền góp vốn điều lệ,Thu tiền góp vốn điều lệ,374.375.700.000,374375700000.0
Thu khác phục vụ HĐSXKD,Công ty CP Đầu tư THG Holdings > Thu khác phục vụ HĐSXKD,Thu khác phục vụ HĐSXKD,1.500.000,1500000.0
Công ty CP Văn Phú Holdings,Công ty CP Văn Phú Holdings,Công ty CP Văn Phú Holdings,Công ty CP Văn Phú Holdings,
Trả tiền thi công xây dựng,Công ty CP Văn Phú Holdings > Trả tiền thi công xây dựng,Trả tiền thi công xây dựng,4.458.000.000,4458000000.0
Trả tiền hợp tác đầu tư,Công ty CP Văn Phú Holdings > Trả tiền hợp tác đầu tư,Trả tiền hợp tác đầu tư,25.600.000.000,25600000000.0
Công ty CP Đầu tư Văn Phú - IPS,Công ty CP Đầu tư Văn Phú - IPS,Công ty CP Đầu tư Văn Phú - IPS,Công ty CP Đầu tư Văn Phú - IPS,
Chuyển nhượng cổ phần,Công ty CP Đầu tư Văn Phú - IPS > Chuyển nhượng cổ phần,Chuyển nhượng cổ phần,1.600.000.000,1600000000.0
Thu phí hoạt động văn phòng,Công ty CP Đầu tư Văn Phú - IPS > Thu phí hoạt động văn phòng,Thu phí hoạt động văn phòng,91.764.206,91764206.0
Ứng trước phí tư vấn xây dựng,Công ty CP Đầu tư Văn Phú - IPS > Ứng trước phí tư vấn xây dựng,Ứng trước phí tư vấn xây dựng,1.800.000.000,1800000000.0
Ông Tõ Như Toàn,Ông Tõ Như Toàn,Ông Tõ Như Toàn,Ông Tõ Như Toàn,
Thu tiền thuế TNCN,Ông Tõ Như Toàn > Thu tiền thuế TNCN,Thu tiền thuế TNCN,1.279.711.397,1279711397.0
Trả tiền nhận chuyển nhượng cổ phần,Ông Tõ Như Toàn > Trả tiền nhận chuyển nhượng cổ phần,Trả tiền nhận chuyển nhượng cổ phần,278.006.400.000,278006400000.0
Thu tiền chuyển nhượng cổ phần,Ông Tõ Như Toàn > Thu tiền chuyển nhượng cổ phần,Thu tiền chuyển nhượng cổ phần,1.600.000.000,1600000000.0
Trả lãi vay,Ông Tõ Như Toàn > Trả lãi vay,Trả lãi vay,2.120.547.946,2120547946.0
Thu tiền vay vốn cá nhân,Ông Tõ Như Toàn > Thu tiền vay vốn cá nhân,Thu tiền vay vốn cá nhân,83.000.000.000,83000000000.0
Trả gốc vay vốn cá nhân,Ông Tõ Như Toàn > Trả gốc vay vốn cá nhân,Trả gốc vay vốn cá nhân,114.923.508.000,114923508000.0
Chi trả cổ tức,Ông Tõ Như Toàn > Chi trả cổ tức,Chi trả cổ tức,64.296.760.000,64296760000.0
