row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,31/12/2017,Đơn vị tính: VND01/01/2017,numeric__Mã số,numeric__TM,numeric__31/12/2017,numeric__Đơn vị tính: VND01/01/2017
A/ TÀI SẢN NGĂN HẠN,A/ TÀI SẢN NGĂN HẠN,A/ TÀI SẢN NGĂN HẠN,100,,2.587.152.868.404,2.334.955.688.812,100.0,,2587152868404.0,2334955688812.0
I/ Tiền và các khoản tương đương tiền,I/ Tiền và các khoản tương đương tiền,I/ Tiền và các khoản tương đương tiền,110,5.1,325.678.832.909,106.384.700.676,110.0,51.0,325678832909.0,106384700676.0
1. Tiền,1. Tiền,1. Tiền,111,,225.678.832.909,38.384.700.676,111.0,,225678832909.0,38384700676.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,100.000.000.000,68.000.000.000,112.0,,100000000000.0,68000000000.0
II/ Đầu tư tài chính ngắn hạn,II/ Đầu tư tài chính ngắn hạn,II/ Đầu tư tài chính ngắn hạn,120,,22.200.000.000,-,120.0,,22200000000.0,
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,5.9,22.200.000.000,-,123.0,59.0,22200000000.0,
III/ Các khoản phải thu ngắn hạn,III/ Các khoản phải thu ngắn hạn,III/ Các khoản phải thu ngắn hạn,130,,1.052.138.872.856,1.002.515.092.238,130.0,,1052138872856.0,1002515092238.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,5.2,801.444.278.978,893.307.972.897,131.0,52.0,801444278978.0,893307972897.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,5.3,31.508.730.321,38.873.781.189,132.0,53.0,31508730321.0,38873781189.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,,4.000.000.000,10.200.000.000,135.0,,4000000000.0,10200000000.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,5.4,215.438.332.064,60.385.806.659,136.0,54.0,215438332064.0,60385806659.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,,(252.468.507),(252.468.507),137.0,,-252468507.0,-252468507.0
