row_label_raw,row_label_full,TT,Khoản mục,Mã số,Số dư tại 31/12/2016,Số trình bày lại,Chênh lệch,numeric__Khoản mục,numeric__Mã số,numeric__Số dư tại 31/12/2016,numeric__Số trình bày lại,numeric__Chênh lệch
,,,Bảng cân đối kế toán,Bảng cân đối kế toán,Bảng cân đối kế toán,Bảng cân đối kế toán,Bảng cân đối kế toán,,,,,
1,1,1,Hàng tồn kho,141,1.146.252.897.520,1.162.262.242.052,16.009.344.532,,141.0,1146252897520.0,1162262242052.0,16009344532.0
2,2,2,Thuế GTGT được khấu trừ,152,63.879.305.617,63.708.574.040,(170.731.577),,152.0,63879305617.0,63708574040.0,-170731577.0
3,3,3,Thuế và các khoản phải nộp Nhà nước,313,12.927.510.571,40.435.600.289,27.508.089.718,,313.0,12927510571.0,40435600289.0,27508089718.0
4,4,4,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,36.527.922.987,24.858.446.224,(11.669.476.763),,,36527922987.0,24858446224.0,-11669476763.0
