row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữuVND,Thặng dư vốn cổ phầnVND,Quỹ đầu tư phát triểnVND,Quỹ khác thuộc vốn chủ sở hữuVND,LNST chưa phân phốiVND,Lợi ích của cổ đông không kiểm soátVND,Tổng cộngVND,numeric__Vốn góp của chủ sở hữuVND,numeric__Thặng dư vốn cổ phầnVND,numeric__Quỹ đầu tư phát triểnVND,numeric__Quỹ khác thuộc vốn chủ sở hữuVND,numeric__LNST chưa phân phốiVND,numeric__Lợi ích của cổ đông không kiểm soátVND,numeric__Tổng cộngVND
Số dư tại 01/01/2016,Số dư tại 01/01/2016,Số dư tại 01/01/2016,262.200.000.000,-,15.177.859.740,7.613.245.707,33.498.781.359,13.743.464.230,332.233.351.036,262200000000.0,,15177859740.0,7613245707.0,33498781359.0,13743464230.0,332233351036.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,17.895.888.044,4.055.657.410,21.951.545.454,,,,,17895888044.0,4055657410.0,21951545454.0
Tăng khác,Tăng khác,Tăng khác,-,-,1.678,-,-,10.083.026.660,10.083.028.338,,,1678.0,,,10083026660.0,10083028338.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(5.000.000.000),-,(5.000.000.000),,,,,-5000000000.0,,-5000000000.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,(3.640.335.135),(3.792.000.000),(7.432.335.135),,,,,-3640335135.0,-3792000000.0,-7432335135.0
Số dư tại 31/12/2016,Số dư tại 31/12/2016,Số dư tại 31/12/2016,262.200.000.000,-,15.177.861.418,7.613.245.707,42.754.334.268,24.090.148.300,351.835.589.693,262200000000.0,,15177861418.0,7613245707.0,42754334268.0,24090148300.0,351835589693.0
Số dư tại 01/01/2017,Số dư tại 01/01/2017,Số dư tại 01/01/2017,262.200.000.000,1.678,15.177.859.740,7.613.245.707,42.754.334.268,24.090.148.300,351.835.589.693,262200000000.0,1678.0,15177859740.0,7613245707.0,42754334268.0,24090148300.0,351835589693.0
Tăng vốn trong kỳ (i),Tăng vốn trong kỳ (i),Tăng vốn trong kỳ (i),1.337.800.000.000,-,-,-,421.717.864.462,183.007.804.750,1.520.807.804.750,1337800000000.0,,,,421717864462.0,183007804750.0,1520807804750.0
Lãi trong kỳ,Lãi trong kỳ,Lãi trong kỳ,-,-,-,-,1.123.475.842,1.195.546.939,421.717.864.462,,,,,1123475842.0,1195546939.0,421717864462.0
Tăng khác (iii),Tăng khác (iii),Tăng khác (iii),-,-,-,-,-,(10.640.000.000),2.319.022.781,,,,,,-10640000000.0,2319022781.0
Giảm vốn trong kỳ,Giảm vốn trong kỳ,Giảm vốn trong kỳ,-,-,-,-,-,(2.837.319.085),(10.640.000.000),,,,,,-2837319085.0,-10640000000.0
Lỗ trong năm nay,Lỗ trong năm nay,Lỗ trong năm nay,-,-,-,-,(244.172.000.000),(2.837.319.085),(2.837.319.085),,,,,-244172000000.0,-2837319085.0,-2837319085.0
Chia cổ tức (ii),Chia cổ tức (ii),Chia cổ tức (ii),-,-,-,-,(244.172.000.000),(2.837.319.085),(2.837.319.085),,,,,-244172000000.0,-2837319085.0,-2837319085.0
Giảm khác (iii),Giảm khác (iii),Giảm khác (iii),-,(4),-,(24.315.838),(58.408),(2.202.099.768),(2.226.474.018),,-4.0,,-24315838.0,-58408.0,-2202099768.0,-2226474018.0
Số dư tại 31/12/2017,Số dư tại 31/12/2017,Số dư tại 31/12/2017,1.600.000.000.000,1.674,15.177.859.740,7.588.929.869,221.423.616.164,192.614.081.136,2.036.804.488.583,1600000000000.0,1674.0,15177859740.0,7588929869.0,221423616164.0,192614081136.0,2036804488583.0
