row_label_raw,row_label_full,col_0,Chỉ tiêu,MS,Năm 2017,Đơn vị tính: VND Năm 2016,numeric__Chỉ tiêu,numeric__MS,numeric__Năm 2017,numeric__Đơn vị tính: VND Năm 2016
I.,I.,I.,Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,522.769.197.797,29.174.246.107,,1.0,522769197797.0,29174246107.0
2.,2.,2.,Điều chỉnh cho các khoản,,,,,,,
-,2. > -,-,Khấu hao TSCĐ và BĐSĐT,02,1.778.810.535,2.321.147.097,,2.0,1778810535.0,2321147097.0
-,2. > -,-,"Lãi, lỗ từ hoạt động đầu tư",05,(75.354.032.098),(2.412.987.432),,5.0,-75354032098.0,-2412987432.0
-,2. > -,-,Chi phí lãi vay,06,26.597.116.292,19.261.213.689,,6.0,26597116292.0,19261213689.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,475.791.092.526,48.343.619.461,,8.0,475791092526.0,48343619461.0
-,2. > -,-,"Tăng, giảm các khoản phải thu",09,(510.172.922.998),(566.523.887.033),,9.0,-510172922998.0,-566523887033.0
-,2. > -,-,"Tăng, giảm hàng tồn kho",10,(7.754.569.461),(10.224.542.956),,10.0,-7754569461.0,-10224542956.0
-,2. > -,-,"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế TNDN phải nộp)",11,(271.093.845.898),329.574.553.874,,11.0,-271093845898.0,329574553874.0
-,2. > -,-,"Tăng, giảm chi phí trả trước",12,909.390.605,2.036.577.876,,12.0,909390605.0,2036577876.0
-,2. > -,-,Tiền lãi vay đã trả,14,(26.597.116.292),(31.251.385.785),,14.0,-26597116292.0,-31251385785.0
-,2. > -,-,Thuế TNDN đã nộp,15,(73.295.431.859),(2.337.000.000),,15.0,-73295431859.0,-2337000000.0
-,2. > -,-,Tiền chi khác cho hoạt động kinh doanh,17,(1.677.237.000),-,,17.0,-1677237000.0,
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(413.890.640.377),(230.382.064.563),,20.0,-413890640377.0,-230382064563.0
II.,II.,II.,Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,
1.,II. > 1.,1.,"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(23.031.766.038),(8.355.287.284),,21.0,-23031766038.0,-8355287284.0
2.,II. > 2.,2.,"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,526.363.636,630.000.000,,22.0,526363636.0,630000000.0
3.,II. > 3.,3.,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,(23.200.000.000),(12.751.984.945),,23.0,-23200000000.0,-12751984945.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",24,1.825.000.000,2.551.984.945,,24.0,1825000000.0,2551984945.0
5.,II. > 5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,(279.406.400.000),(177.050.697.175),,25.0,-279406400000.0,-177050697175.0
6.,II. > 6.,6.,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,164.070.820.000,309.507.500.000,,26.0,164070820000.0,309507500000.0
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,3.950.489.413,2.058.621.426,,27.0,3950489413.0,2058621426.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(155.265.492.989),116.590.136.967,,30.0,-155265492989.0,116590136967.0
III.,III.,III.,Lưu chuyển tiền từ hoạt động tài chính,,,,,,,
1.,III. > 1.,1.,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,975.742.000.000,-,,31.0,975742000000.0,
2.,III. > 2.,2.,Tiền thu từ đi vay,33,1.469.508.390.855,975.642.667.579,,33.0,1469508390855.0,975642667579.0
3.,III. > 3.,3.,Tiền trả nợ gốc vay,34,(1.412.628.125.256),(774.493.860.868),,34.0,-1412628125256.0,-774493860868.0
4.,III. > 4.,4.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(244.172.000.000),-,,36.0,-244172000000.0,
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,788.450.265.599,201.148.806.711,,40.0,788450265599.0,201148806711.0
,,,Lưu chuyển tiền thuần trong kỳ,50,219.294.132.233,87.356.879.115,,50.0,219294132233.0,87356879115.0
,,,Tiền và tương đương tiền đầu kỳ,60,106.384.700.676,19.027.821.561,,60.0,106384700676.0,19027821561.0
,,,Tiền và tương đương tiền cuối kỳ,70,325.678.832.909,106.384.700.676,,70.0,325678832909.0,106384700676.0
