row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuốngVND,Trên 1 nămđến 5 nămVND,Trên 5 nămVND,CộngVND,numeric__Từ 1 nămtrở xuốngVND,numeric__Trên 1 nămđến 5 nămVND,numeric__Trên 5 nămVND,numeric__CộngVND
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,,
Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,,,,,,,,
Vay và nợ,Tại ngày 31/12/2017 > Vay và nợ,Vay và nợ,333.924.417.620,279.008.089.025,-,612.932.506.645,333924417620.0,279008089025.0,,612932506645.0
Phải trả người bán,Tại ngày 31/12/2017 > Phải trả người bán,Phải trả người bán,132.271.728.977,-,-,132.271.728.977,132271728977.0,,,132271728977.0
Chi phí phải trả,Tại ngày 31/12/2017 > Chi phí phải trả,Chi phí phải trả,491.854.479.085,-,-,491.854.479.085,491854479085.0,,,491854479085.0
Phải trả khác,Tại ngày 31/12/2017 > Phải trả khác,Phải trả khác,336.569.701.429,41.434.490.000,-,378.004.191.429,336569701429.0,41434490000.0,,378004191429.0
Cộng,Tại ngày 31/12/2017 > Cộng,Cộng,1.294.620.327.111,320.442.579.025,-,1.615.062.906.136,1294620327111.0,320442579025.0,,1615062906136.0
Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,,,,,,,,
Vay và nợ,Tại ngày 01/01/2017 > Vay và nợ,Vay và nợ,547.520.192.225,59.423.508.000,-,606.943.700.225,547520192225.0,59423508000.0,,606943700225.0
Phải trả người bán,Tại ngày 01/01/2017 > Phải trả người bán,Phải trả người bán,232.156.264.381,-,-,232.156.264.381,232156264381.0,,,232156264381.0
Chi phí phải trả,Tại ngày 01/01/2017 > Chi phí phải trả,Chi phí phải trả,688.072.340.420,-,-,688.072.340.420,688072340420.0,,,688072340420.0
Phải trả khác,Tại ngày 01/01/2017 > Phải trả khác,Phải trả khác,96.814.789.342,387.918.636.432,-,484.733.425.774,96814789342.0,387918636432.0,,484733425774.0
Cộng,Tại ngày 01/01/2017 > Cộng,Cộng,1.564.563.586.368,447.342.144.432,-,2.011.905.730.800,1564563586368.0,447342144432.0,,2011905730800.0
