row_label_raw,row_label_full,col_0,31/12/2017 > Giá trịVND,31/12/2017 > Số có khànăng trả nợVND,01/01/2017 > Giá trịVND,01/01/2017 > Số có khànăng trả nợVND,numeric__31/12/2017 > Giá trịVND,numeric__31/12/2017 > Số có khànăng trả nợVND,numeric__01/01/2017 > Giá trịVND,numeric__01/01/2017 > Số có khànăng trả nợVND
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,61.870.762,61.870.762,-,-,61870762.0,61870762.0,,
Bảo hiểm xã hội,Bảo hiểm xã hội,Bảo hiểm xã hội,-,-,108.508,108.508,,,108508.0,108508.0
"Nhận ký quỹ, ký cượcngắn hạn (i)","Nhận ký quỹ, ký cượcngắn hạn (i)","Nhận ký quỹ, ký cượcngắn hạn (i)",74.000.000.000,74.000.000.000,-,-,74000000000.0,74000000000.0,,
Công ty CP Đầu tư VănPhú-Land,Công ty CP Đầu tư VănPhú-Land,Công ty CP Đầu tư VănPhú-Land,45.368.000.000,45.368.000.000,-,-,45368000000.0,45368000000.0,,
Nhận góp vốn HTKD -Công ty CPĐT BTD,Nhận góp vốn HTKD -Công ty CPĐT BTD,Nhận góp vốn HTKD -Công ty CPĐT BTD,10.000.000.000,10.000.000.000,10.000.000.000,10.000.000.000,10000000000.0,10000000000.0,10000000000.0,10000000000.0
Nhận góp vốn HTKD -Công ty CP ĐT BOT HàNội - Bắc Giang,Nhận góp vốn HTKD -Công ty CP ĐT BOT HàNội - Bắc Giang,Nhận góp vốn HTKD -Công ty CP ĐT BOT HàNội - Bắc Giang,-,-,12.936.000.000,12.936.000.000,,,12936000000.0,12936000000.0
Công ty CP Đầu tư BĐSSIC - Dự án Thảo Điền(ii),Công ty CP Đầu tư BĐSSIC - Dự án Thảo Điền(ii),Công ty CP Đầu tư BĐSSIC - Dự án Thảo Điền(ii),191.250.000.000,191.250.000.000,-,-,191250000000.0,191250000000.0,,
Giá trị bảo trì DA VănPhú - CT9,Giá trị bảo trì DA VănPhú - CT9,Giá trị bảo trì DA VănPhú - CT9,791.486.105,791.486.105,37.880.067.413,37.880.067.413,791486105.0,791486105.0,37880067413.0,37880067413.0
Phải trả khác,Phải trả khác,Phải trả khác,15.098.344.562,15.098.344.562,35.998.613.421,35.998.613.421,15098344562.0,15098344562.0,35998613421.0,35998613421.0
Cộng,Cộng,Cộng,336.569.701.429,336.569.701.429,96.814.789.342,96.814.789.342,336569701429.0,336569701429.0,96814789342.0,96814789342.0
