row_label_raw,row_label_full,Ông Phạm Tuấn Ngọc > Ông Ngô Thế Phiệt,Chủ tịch > Thành viên,Bổ nhiệm ngày 26/11/2025 > Miễn nhiệm ngày 07/10/2025 > Miễn nhiệm ngày 26/11/2025,numeric__Chủ tịch > Thành viên,numeric__Bổ nhiệm ngày 26/11/2025 > Miễn nhiệm ngày 07/10/2025 > Miễn nhiệm ngày 26/11/2025
Ông Ngô Trí Thịnh,Ông Ngô Trí Thịnh,Ông Ngô Trí Thịnh,Thành viên,,,
Ông Bùi Minh Tân,Ông Bùi Minh Tân,Ông Bùi Minh Tân,Thành viên,,,
Ông Nguyễn Trung Thực,Ông Nguyễn Trung Thực,Ông Nguyễn Trung Thực,Thành viên,Phụ trách HĐQT từ 07/10/2025 đến 26/11/2025,,
Ông Nguyễn Đức Thảo,Ông Nguyễn Đức Thảo,Ông Nguyễn Đức Thảo,Thành viên độc lập,,,
