row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2025 VND,01/01/2025 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025 VND,numeric__01/01/2025 VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,,6.276.419.585.772,6.644.862.868.967,300.0,,6276419585772.0,6644862868967.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,4.848.513.441.659,5.740.386.797.446,310.0,,4848513441659.0,5740386797446.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,15,2.728.950.730.051,2.651.120.946.287,311.0,15.0,2728950730051.0,2651120946287.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,,762.783.212,2.789.541.453,312.0,,762783212.0,2789541453.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,16,73.059.358.826,30.528.073.923,313.0,16.0,73059358826.0,30528073923.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,,71.046.711.658,108.391.989.125,314.0,,71046711658.0,108391989125.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,17,88.082.803.695,50.496.159.739,315.0,17.0,88082803695.0,50496159739.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,18,24.731.260.331,29.058.397.268,319.0,18.0,24731260331.0,29058397268.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,19,1.808.238.320.765,2.834.879.752.666,320.0,19.0,1808238320765.0,2834879752666.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,,53.641.473.121,33.121.936.985,322.0,,53641473121.0,33121936985.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,1.427.906.144.113,904.476.071.521,330.0,,1427906144113.0,904476071521.0
Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,331,16,426.055.775.214,412.713.770.045,331.0,16.0,426055775214.0,412713770045.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,337,18,-,227.059.200,337.0,18.0,,227059200.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,19,992.236.599.800,491.535.242.276,338.0,19.0,992236599800.0,491535242276.0
Quỹ phát triển khoa học và công nghệ,Quỹ phát triển khoa học và công nghệ,Quỹ phát triển khoa học và công nghệ,343,,9.613.769.099,-,343.0,,9613769099.0,
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,400,20,8.757.180.287.516,8.512.284.427.316,400.0,20.0,8757180287516.0,8512284427316.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,,8.757.180.287.516,8.512.284.427.316,410.0,,8757180287516.0,8512284427316.0
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,411,,6.827.674.750.000,6.827.674.750.000,411.0,,6827674750000.0,6827674750000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,6.827.674.750.000,6.827.674.750.000,,,6827674750000.0,6827674750000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,(45.000.000),(45.000.000),412.0,,-45000000.0,-45000000.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,,679.552.025.766,468.673.608.762,418.0,,679552025766.0,468673608762.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,1.249.998.511.750,1.215.981.068.554,421.0,,1249998511750.0,1215981068554.0
- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,595.207.598.432,513.053.011.873,,,595207598432.0,513053011873.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,654.790.913.318,702.928.056.681,,,654790913318.0,702928056681.0
TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,440,,15.033.599.873.288,15.157.147.296.283,440.0,,15033599873288.0,15157147296283.0
