row_label_raw,row_label_full,STT,Tên Công ty,Ngành nghề kinh doanh,Địa chỉ,numeric__Tên Công ty,numeric__Ngành nghề kinh doanh,numeric__Địa chỉ
1,1,1,Công ty Nhiệt điện Na Dương – TKV,Sản xuất và kinh doanh điện,"Khu 4, xã Na Dương, tỉnh Lạng Sơn",,,
2,2,2,Công ty Nhiệt điện Cao Ngạn – TKV,Sản xuất và kinh doanh điện,"Ngõ 719, đường Dương Tự Minh, phường Quan Triều, tỉnh Thái Nguyên",,,
3,3,3,Công ty Nhiệt điện Sơn Đông – TKV,Sản xuất và kinh doanh điện,"Thôn Đồng Rì, xã Tây Yên Từ, tỉnh Bắc Ninh",,,
4,4,4,Công ty Nhiệt điện Đông Triều – TKV,Sản xuất và kinh doanh điện,"Thôn Đông Sơn, phường Bình Khê, tỉnh Quảng Ninh",,,
5,5,5,Công ty Thủy điện Đồng Nai 5 – TKV,Sản xuất và kinh doanh điện,"Số 10 đường Hoàng Văn Thụ, phường 1 Bảo Lộc, tỉnh Lâm Đồng",,,
6,6,6,Công ty Nhiệt điện Cẩm Phả - TKV,Sản xuất và kinh doanh điện,"Số 01, đường Trần Quốc Tàng, phường Cửa Ông, tỉnh Quảng Ninh",,,
7,7,7,Ban quản lý dự án Nhà máy nhiệt điện Na Dương II,Quản lý dự án đầu tư,"Khu 4, xã Na Dương, tỉnh Lạng Sơn",,,
