row_label_raw,row_label_full,Ông Bùi Minh Tân > Ông Ngô Trí Thịnh,Tổng Giám đốc,Bổ nhiệm ngày 06/10/2025 > Miễn nhiệm ngày 06/10/2025,numeric__Tổng Giám đốc,numeric__Bổ nhiệm ngày 06/10/2025 > Miễn nhiệm ngày 06/10/2025
Ông Nguyễn Trung Thực,Ông Nguyễn Trung Thực,Ông Nguyễn Trung Thực,Phó Tổng Giám đốc,,,
Ông Nghiêm Xuân Chiến,Ông Nghiêm Xuân Chiến,Ông Nghiêm Xuân Chiến,Phó Tổng Giám đốc,,,
Ông Đăng Quốc Long,Ông Đăng Quốc Long,Ông Đăng Quốc Long,Phó Tổng Giám đốc,,,
