row_label_raw,row_label_full,Ông Lê Ngọc Nam,Trường Ban,numeric__Trường Ban
Bà Bùi Thu Thái,Bà Bùi Thu Thái,Bà Bùi Thu Thái,Thành viên,
Bà Đào Thị Hoàng Yến,Bà Đào Thị Hoàng Yến,Bà Đào Thị Hoàng Yến,Thành viên,
