row_label_raw,row_label_full,Khoản mục > 01/01/2024 > - Lãi trong năm trước,Vốn đầu tư của chủ sở hữu > VND > 6.827.674.750.000 > -,Thặng dư vốn cổ phần > VND > (45.000.000) > -,Quỹ đầu tư phát triển > VND > 304.288.724.643 > -,Lợi nhuận sau thuế chưa phân phối > VND > 997.477.400.992 > 702.928.056.681,Tổng cộng > VND > 8.129.395.875.635 > 702.928.056.681,numeric__Vốn đầu tư của chủ sở hữu > VND > 6.827.674.750.000 > -,numeric__Thặng dư vốn cổ phần > VND > (45.000.000) > -,numeric__Quỹ đầu tư phát triển > VND > 304.288.724.643 > -,numeric__Lợi nhuận sau thuế chưa phân phối > VND > 997.477.400.992 > 702.928.056.681,numeric__Tổng cộng > VND > 8.129.395.875.635 > 702.928.056.681
- Phân phối lợi nhuận,- Phân phối lợi nhuận,- Phân phối lợi nhuận,-,-,164.384.884.119,(484.424.389.119),(320.039.505.000),,,164384884119.0,-484424389119.0,-320039505000.0
+ Trích quỹ đầu tư phát triển,+ Trích quỹ đầu tư phát triển,+ Trích quỹ đầu tư phát triển,-,-,164.384.884.119,(164.384.884.119),-,,,164384884119.0,-164384884119.0,
+ Trích quỹ khen thưởng phúc lợi,+ Trích quỹ khen thưởng phúc lợi,+ Trích quỹ khen thưởng phúc lợi,-,-,-,(46.932.515.000),(46.932.515.000),,,,-46932515000.0,-46932515000.0
+ Chia cổ tức,+ Chia cổ tức,+ Chia cổ tức,-,-,-,(273.106.990.000),(273.106.990.000),,,,-273106990000.0,-273106990000.0
31/12/2024,31/12/2024,31/12/2024,6.827.674.750.000,(45.000.000),468.673.608.762,1.215.981.068.554,8.512.284.427.316,6827674750000.0,-45000000.0,468673608762.0,1215981068554.0,8512284427316.0
01/01/2025,01/01/2025,01/01/2025,6.827.674.750.000,(45.000.000),468.673.608.762,1.215.981.068.554,8.512.284.427.316,6827674750000.0,-45000000.0,468673608762.0,1215981068554.0,8512284427316.0
- Lãi trong năm nay,- Lãi trong năm nay,- Lãi trong năm nay,-,-,-,654.790.913.318,654.790.913.318,,,,654790913318.0,654790913318.0
- Phân phối lợi nhuận (*),- Phân phối lợi nhuận (*),- Phân phối lợi nhuận (*),-,-,210.878.417.004,(620.773.470.122),(409.895.053.118),,,210878417004.0,-620773470122.0,-409895053118.0
+ Trích quỹ đầu tư phát triển,+ Trích quỹ đầu tư phát triển,+ Trích quỹ đầu tư phát triển,-,-,210.878.417.004,(210.878.417.004),-,,,210878417004.0,-210878417004.0,
"+ Trích quỹ khen thưởng, phúc lợi","+ Trích quỹ khen thưởng, phúc lợi","+ Trích quỹ khen thưởng, phúc lợi",-,-,-,(68.511.315.618),(68.511.315.618),,,,-68511315618.0,-68511315618.0
+ Chia cổ tức,+ Chia cổ tức,+ Chia cổ tức,-,-,-,(341.383.737.500),(341.383.737.500),,,,-341383737500.0,-341383737500.0
31/12/2025,31/12/2025,31/12/2025,6.827.674.750.000,(45.000.000),679.552.025.766,1.249.998.511.750,8.757.180.287.516,6827674750000.0,-45000000.0,679552025766.0,1249998511750.0,8757180287516.0
