row_label_raw,row_label_full,col_0,31/12/2025 > Giá trị VND,31/12/2025 > Dự phòng VND,01/01/2025 > Giá trị VND,01/01/2025 > Dự phòng VND,numeric__31/12/2025 > Giá trị VND,numeric__31/12/2025 > Dự phòng VND,numeric__01/01/2025 > Giá trị VND,numeric__01/01/2025 > Dự phòng VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,46.365.077.066,(2.934.779.500),60.914.081.037,(2.934.779.500),46365077066.0,-2934779500.0,60914081037.0,-2934779500.0
- Phải thu về lãi cho vay,- Phải thu về lãi cho vay,- Phải thu về lãi cho vay,17.180.416.371,-,17.147.906.782,-,17180416371.0,,17147906782.0,
"- Phải thu về lợi nhuận, cổ tức được chia","- Phải thu về lợi nhuận, cổ tức được chia","- Phải thu về lợi nhuận, cổ tức được chia",-,-,10.815.000.000,-,,,10815000000.0,
- Dự thu lãi tiền gửi,- Dự thu lãi tiền gửi,- Dự thu lãi tiền gửi,4.713.041.593,-,5.136.542.466,-,4713041593.0,,5136542466.0,
- Thuế GTGT tiền điện bán ra,- Thuế GTGT tiền điện bán ra,- Thuế GTGT tiền điện bán ra,7.370.577.125,-,8.575.767.157,-,7370577125.0,,8575767157.0,
- Tạm ứng,- Tạm ứng,- Tạm ứng,6.017.453.126,-,8.224.171.433,-,6017453126.0,,8224171433.0,
"- Ký quỹ, ký cược ngắn hạn","- Ký quỹ, ký cược ngắn hạn","- Ký quỹ, ký cược ngắn hạn",232.000.000,-,1.595.766.320,-,232000000.0,,1595766320.0,
- Các khoản phải thu khác,- Các khoản phải thu khác,- Các khoản phải thu khác,10.851.588.851,(2.934.779.500),9.418.926.879,(2.934.779.500),10851588851.0,-2934779500.0,9418926879.0,-2934779500.0
Dài hạn,Dài hạn,Dài hạn,16.987.033.883,-,16.702.419.611,-,16987033883.0,,16702419611.0,
"- Ký quỹ, ký cược dài hạn","- Ký quỹ, ký cược dài hạn","- Ký quỹ, ký cược dài hạn",16.987.033.883,-,16.702.419.611,-,16987033883.0,,16702419611.0,
Cộng,Cộng,Cộng,63.352.110.949,(2.934.779.500),77.616.500.648,(2.934.779.500),63352110949.0,-2934779500.0,77616500648.0,-2934779500.0
