row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2025 VND,Năm 2024 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025 VND,numeric__Năm 2024 VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,22,12.616.201.271.469,12.713.921.164.114,1.0,22.0,12616201271469.0,12713921164114.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,,-,-,2.0,,,
Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,10,,12.616.201.271.469,12.713.921.164.114,10.0,,12616201271469.0,12713921164114.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,23,11.531.364.133.304,11.524.968.220.354,11.0,23.0,11531364133304.0,11524968220354.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,1.084.837.138.165,1.188.952.943.760,20.0,,1084837138165.0,1188952943760.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,24,199.687.293.844,228.077.248.469,21.0,24.0,199687293844.0,228077248469.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,25,161.424.664.865,294.553.904.586,22.0,25.0,161424664865.0,294553904586.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,134.972.109.516,192.742.831.710,23.0,,134972109516.0,192742831710.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,,-,-,25.0,,,
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,26,416.970.339.572,366.545.063.062,26.0,26.0,416970339572.0,366545063062.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,,706.129.427.572,755.931.224.581,30.0,,706129427572.0,755931224581.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,27,9.089.107.890,22.076.513.070,31.0,27.0,9089107890.0,22076513070.0
Chi phí khác,Chi phí khác,Chi phí khác,32,28,2.429.674.755,15.450.250.396,32.0,28.0,2429674755.0,15450250396.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,40,,6.659.433.135,6.626.262.674,40.0,,6659433135.0,6626262674.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,,712.788.860.707,762.557.487.255,50.0,,712788860707.0,762557487255.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,30,57.997.947.389,59.629.430.574,51.0,30.0,57997947389.0,59629430574.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,,-,-,52.0,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,654.790.913.318,702.928.056.681,60.0,,654790913318.0,702928056681.0
