row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2025 VND,Năm 2024 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025 VND,numeric__Năm 2024 VND
Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,,
Lợi nhuận trước thuế,Lưu chuyển tiền từ hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,,712.788.860.707,762.557.487.255,1.0,,712788860707.0,762557487255.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,
Khấu hao TSCĐ và BĐSĐT,Điều chỉnh cho các khoản > Khấu hao TSCĐ và BĐSĐT,Khấu hao TSCĐ và BĐSĐT,02,,1.232.120.482.346,1.256.917.260.811,2.0,,1232120482346.0,1256917260811.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,,(644.500.913),9.277.860.205,3.0,,-644500913.0,9277860205.0
(Lãi)/lỗ các khoản chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Điều chỉnh cho các khoản > (Lãi)/lỗ các khoản chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,(Lãi)/lỗ các khoản chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,,20.593.185.940,60.148.729.785,4.0,,20593185940.0,60148729785.0
(Lãi) hoạt động đầu tư,Điều chỉnh cho các khoản > (Lãi) hoạt động đầu tư,(Lãi) hoạt động đầu tư,05,,(200.683.842.306),(218.952.243.685),5.0,,-200683842306.0,-218952243685.0
Chi phí lãi vay,Điều chỉnh cho các khoản > Chi phí lãi vay,Chi phí lãi vay,06,,134.972.109.516,192.742.831.710,6.0,,134972109516.0,192742831710.0
Các điều chỉnh khác,Điều chỉnh cho các khoản > Các điều chỉnh khác,Các điều chỉnh khác,07,,10.173.361.183,(11.267.980.450),7.0,,10173361183.0,-11267980450.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,1.909.319.656.473,2.051.423.945.631,8.0,,1909319656473.0,2051423945631.0
