row_label_raw,row_label_full,col_0,Transaction value,Transaction value_1,numeric__Transaction value,numeric__Transaction value_1
,,,2021VND,2020VND,,
MM Mega Market (Vietnam) Company LimitedPurchases of goods,MM Mega Market (Vietnam) Company LimitedPurchases of goods,MM Mega Market (Vietnam) Company LimitedPurchases of goods,"5,307,015,205",-,,
Super Brands Company Pte. Ltd.Payments on behalf of the Group,Super Brands Company Pte. Ltd.Payments on behalf of the Group,Super Brands Company Pte. Ltd.Payments on behalf of the Group,"4,820,212,005","5,386,560,273",,
"Fraser and Neave, LimitedPayments on behalf of the Group","Fraser and Neave, LimitedPayments on behalf of the Group","Fraser and Neave, LimitedPayments on behalf of the Group","1,718,509,256","4,797,551,923",,
Fraser & Neave (Singapore) Pte. LimitedPayments on behalf of the Group,Fraser & Neave (Singapore) Pte. LimitedPayments on behalf of the Group,Fraser & Neave (Singapore) Pte. LimitedPayments on behalf of the Group,-,"2,000,000",,
InterBev (Singapore) LimitedSales of finished goods,InterBev (Singapore) LimitedSales of finished goods,InterBev (Singapore) LimitedSales of finished goods,-,"214,472,290",,
Sales of merchandise goods,Sales of merchandise goods,Sales of merchandise goods,"274,522,020","708,326,810",,
"Chang International Co., LtdPayments on behalf of the Group","Chang International Co., LtdPayments on behalf of the Group","Chang International Co., LtdPayments on behalf of the Group","4,764,149,269","5,655,431,923",,
"Chang Beer Co., Ltd.Payments on behalf of the Group","Chang Beer Co., Ltd.Payments on behalf of the Group","Chang Beer Co., Ltd.Payments on behalf of the Group","743,116,593",-,,
"Board of Directors membersSalary, bonus and remunerationMr. Koh Poh Tiong – Chairman","Board of Directors membersSalary, bonus and remunerationMr. Koh Poh Tiong – Chairman","Board of Directors membersSalary, bonus and remunerationMr. Koh Poh Tiong – Chairman",-,-,,
Mr. Pramoad Phornprapha – Member,Mr. Pramoad Phornprapha – Member,Mr. Pramoad Phornprapha – Member,"676,000,000","215,150,000",,
Mr. Nguyen Tien Vy – Member,Mr. Nguyen Tien Vy – Member,Mr. Nguyen Tien Vy – Member,"988,000,000","735,150,000",,
Mr. Michael Chye Hin Fah – Member,Mr. Michael Chye Hin Fah – Member,Mr. Michael Chye Hin Fah – Member,"676,000,000","215,150,000",,
Ms. Tran Kim Nga – Member,Ms. Tran Kim Nga – Member,Ms. Tran Kim Nga – Member,"676,000,000","215,150,000",,
Mr. Le Thanh Tuan – Member,Mr. Le Thanh Tuan – Member,Mr. Le Thanh Tuan – Member,"468,000,000",-,,
Ms. Ngo Minh Chau – Member,Ms. Ngo Minh Chau – Member,Ms. Ngo Minh Chau – Member,"468,000,000",-,,
Mr. Nguyen Tien Dung – Member,Mr. Nguyen Tien Dung – Member,Mr. Nguyen Tien Dung – Member,"869,400,000","1,581,200,000",,
Mr. Luong Thanh Hai – Member,Mr. Luong Thanh Hai – Member,Mr. Luong Thanh Hai – Member,"943,000,000","1,553,150,000",,
Board of ManagementSalary and bonus,Board of ManagementSalary and bonus,Board of ManagementSalary and bonus,"25,242,132,835","26,166,749,443",,
Audit CommitteeRemuneration,Audit CommitteeRemuneration,Audit CommitteeRemuneration,"1,014,000,000","1,690,000,000",,
