row_label_raw,row_label_full,STT,Tên công ty,Hoạt động chính,31/12/2021,31/12/2021_1,1/1/2021,1/1/2021_1,numeric__Tên công ty,numeric__Hoạt động chính,numeric__31/12/2021,numeric__31/12/2021_1,numeric__1/1/2021,numeric__1/1/2021_1
STT,STT,STT,Tên công ty,Hoạt động chính,% quyền sở hữu,% quyền biểu quyết,% quyền sở hữu,% quyền biểu quyết,,,,,,
II,II,II,Cơ sở kinh doanh đồng kiểm soát,,,,,,,,,,,
1,II > 1,1,Công ty TNHH Trung Tâm Mê Linh (*),Cho thuê và quản lý cao ốc văn phòng,"25,00%","25,00%","25,00%","25,00%",,,0.25,0.25,0.25,0.25
2,II > 2,2,Công ty Liên doanh TNHH Crown Sài Gòn,Sản xuất lon nhóm,"30,00%","30,00%","30,00%","30,00%",,,0.3,0.3,0.3,0.3
3,II > 3,3,Công ty TNHH Thủy Tinh Malaya Việt Nam,Sản xuất các sản phẩm thủy tinh,"30,00%","30,00%","30,00%","30,00%",,,0.3,0.3,0.3,0.3
4,II > 4,4,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,Sản xuất và kinh doanh các sản phẩm bao bì đóng gói bằng kim loại,"35,00%","35,00%","35,00%","35,00%",,,0.35,0.35,0.35,0.35
5,II > 5,5,Công ty TNHH Sản xuất Rượu và Cồn Việt Nam,Sản xuất và kinh doanh rượu và các sản phẩm nước uống có cồn,"45,00%","45,00%","45,00%","45,00%",,,0.45,0.45,0.45,0.45
III,III,III,Công ty liên kết,,,,,,,,,,,
6,III > 6,6,Công ty Cổ phần Tư vấn Đầu tư - Thiết kế và Chuyển giao Công nghệ Thành Nam,Tư vấn xây dựng và thiết kế,"28,57%","28,57%","28,57%","28,57%",,,0.2857,0.2857,0.2857,0.2857
7,III > 7,7,Công ty Cổ phần Kinh doanh Lương thực - Thực phẩm Trường Sa,Sản xuất sản phẩm nông nghiệp và thực phẩm,"38,62%","38,98%","38,62%","38,98%",,,0.3862,0.3898,0.3862,0.3898
8,III > 8,8,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,"Sản xuất và kinh doanh bia, rượu và nước giải khát","30,84%","33,85%","30,84%","33,85%",,,0.3084,0.3385,0.3084,0.3385
9,III > 9,9,Công ty Cổ phần Bia Sài Gòn - Miền Trung,"Sản xuất và kinh doanh bia, rượu, cồn, nước giải khát và phụ tùng thay thế","32,40%","32,41%","32,40%","32,41%",,,0.324,0.32409999999999994,0.324,0.32409999999999994
10,III > 10,10,Công ty TNHH Đầu tư Thương mại Tân Thành,Xây dựng và kinh doanh bất động sản,"29,00%","29,00%","29,00%","29,00%",,,0.29,0.29,0.29,0.29
11,III > 11,11,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,"Sản xuất, lắp đặt các sản phẩm máy móc cầu đường và xây dựng công nghiệp","26,00%","26,00%","26,00%","26,00%",,,0.26,0.26,0.26,0.26
12,III > 12,12,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,"Sản xuất và kinh doanh bia, rượu và nước giải khát","20,00%","20,00%","20,00%","20,00%",,,0.2,0.2,0.2,0.2
13,III > 13,13,Công ty Cổ phần Bia Sài Gòn - Kiên Giang,"Sản xuất và kinh doanh bia, rượu, cồn, nước giải khát và phụ tùng thay thế","20,00%","20,00%","20,00%","20,00%",,,0.2,0.2,0.2,0.2
14,III > 14,14,Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,"Sản xuất và kinh doanh bia, rượu, cồn, nước giải khát và phụ tùng thay thế","26,00%","26,00%","26,00%","26,00%",,,0.26,0.26,0.26,0.26
