row_label_raw,row_label_full,col_0,Share capital VND,Other capital VND,Foreign exchange differences VND,Investment and development fund VND,Retained profits VND,Total equity attributable to owners of the Company VND,Non-controlling interest VND,Total VND,numeric__Share capital VND,numeric__Other capital VND,numeric__Foreign exchange differences VND,numeric__Investment and development fund VND,numeric__Retained profits VND,numeric__Total equity attributable to owners of the Company VND,numeric__Non-controlling interest VND,numeric__Total VND
Balance as at 1 January 2020,Balance as at 1 January 2020,Balance as at 1 January 2020,"6,412,811,860,000","3,208,666,226","27,272,873,771","1,130,372,829,157","11,231,596,467,620","18,805,262,696,774","1,270,984,359,590","20,076,247,056,364",,,,,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,-,"4,723,496,860,190","4,723,496,860,190","213,349,110,064","4,936,845,970,254",,,,,,,,
Appropriation to bonus and welfare fund (Note 24),Appropriation to bonus and welfare fund (Note 24),Appropriation to bonus and welfare fund (Note 24),-,-,-,-,"(149,318,980,876)","(149,318,980,876)","(20,793,545,057)","(170,112,525,933)",,,,,,,,
Adjustments to bonus and welfare fund (Note 24),Adjustments to bonus and welfare fund (Note 24),Adjustments to bonus and welfare fund (Note 24),-,-,-,-,"51,522,281,739","51,522,281,739","5,962,913,479","57,485,195,218",,,,,,,,
Adjustments to investment and development fund,Adjustments to investment and development fund,Adjustments to investment and development fund,-,-,-,"(7,538,772,810)","7,538,772,810",-,-,-,,,,,,,,
Dividends (Note 29),Dividends (Note 29),Dividends (Note 29),-,-,-,-,"(3,527,046,523,000)","(3,527,046,523,000)","(193,710,724,921)","(3,720,757,247,921)",,,,,,,,
Foreign exchange differences,Foreign exchange differences,Foreign exchange differences,-,-,"(407,539,897)",-,-,"(407,539,897)",-,"(407,539,897)",,,,,,,,
Appropriation to social activities fund,Appropriation to social activities fund,Appropriation to social activities fund,-,-,-,-,"(5,160,121,829)","(5,160,121,829)","(879,933,576)","(6,040,055,405)",,,,,,,,
Adjustments to social activities fund,Adjustments to social activities fund,Adjustments to social activities fund,-,-,-,-,"40,235,334,870","40,235,334,870","(187,026,621)","40,048,308,249",,,,,,,,
Others,Others,Others,-,-,-,"12,114,283","1,634,714,209","1,646,828,492","320,401,507","1,967,229,999",,,,,,,,
Balance as at 31 December 2020,Balance as at 31 December 2020,Balance as at 31 December 2020,"6,412,811,860,000","3,208,666,226","26,865,333,874","1,122,846,170,630","12,374,498,805,733","19,940,230,836,463","1,275,045,554,465","21,215,276,390,928",,,,,,,,
