row_label_raw,row_label_full,col_0,Code Note,2021 VND,2020 VND,numeric__Code Note,numeric__2021 VND,numeric__2020 VND
CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,,,
Payments for additions to fixed assets,CASH FLOWS FROM INVESTING ACTIVITIES > Payments for additions to fixed assets,Payments for additions to fixed assets,21,"(329,541,012,650)","(367,442,290,535)",21.0,,
Proceeds from disposals of fixed assets,CASH FLOWS FROM INVESTING ACTIVITIES > Proceeds from disposals of fixed assets,Proceeds from disposals of fixed assets,22,"3,485,470,000","1,440,687,000",22.0,,
Placements of term deposits at banks,CASH FLOWS FROM INVESTING ACTIVITIES > Placements of term deposits at banks,Placements of term deposits at banks,23,"(18,159,840,000,000)","(16,247,323,041,096)",23.0,,
Collections of term deposits at banks,CASH FLOWS FROM INVESTING ACTIVITIES > Collections of term deposits at banks,Collections of term deposits at banks,24,"15,706,420,432,877","14,066,130,358,492",24.0,,
Proceeds from disposals of equity investments in other entities,CASH FLOWS FROM INVESTING ACTIVITIES > Proceeds from disposals of equity investments in other entities,Proceeds from disposals of equity investments in other entities,26,"444,560,822,504",-,26.0,,
Receipts of interests and dividends,CASH FLOWS FROM INVESTING ACTIVITIES > Receipts of interests and dividends,Receipts of interests and dividends,27,"1,111,565,947,946","1,023,969,279,237",27.0,,
Net cash flows from investing activities,CASH FLOWS FROM INVESTING ACTIVITIES > Net cash flows from investing activities,Net cash flows from investing activities,30,"(1,223,348,339,323)","(1,523,225,006,902)",30.0,,
CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,,,
Proceeds from borrowings,CASH FLOWS FROM FINANCING ACTIVITIES > Proceeds from borrowings,Proceeds from borrowings,33,"2,984,178,514,935","3,061,076,110,807",33.0,,
Payments to settle loan principals,CASH FLOWS FROM FINANCING ACTIVITIES > Payments to settle loan principals,Payments to settle loan principals,34,"(3,301,893,636,020)","(3,309,442,411,518)",34.0,,
Payments to settle finance lease liabilities,CASH FLOWS FROM FINANCING ACTIVITIES > Payments to settle finance lease liabilities,Payments to settle finance lease liabilities,35,-,"(12,727,272,727)",35.0,,
Payments of dividends,CASH FLOWS FROM FINANCING ACTIVITIES > Payments of dividends,Payments of dividends,36,"(1,096,306,570,171)","(3,734,027,010,258)",36.0,,
Net cash flows from financing activities,CASH FLOWS FROM FINANCING ACTIVITIES > Net cash flows from financing activities,Net cash flows from financing activities,40,"(1,414,021,691,256)","(3,995,120,583,696)",40.0,,
Net cash flows during the year (50 = 20 + 30 + 40),CASH FLOWS FROM FINANCING ACTIVITIES > Net cash flows during the year (50 = 20 + 30 + 40),Net cash flows during the year (50 = 20 + 30 + 40),50,"880,481,528,803","(1,389,734,012,942)",50.0,,
Cash and cash equivalents at the beginning of the year,CASH FLOWS FROM FINANCING ACTIVITIES > Cash and cash equivalents at the beginning of the year,Cash and cash equivalents at the beginning of the year,60,"2,726,137,088,387","4,115,884,646,637",60.0,,
Effect of exchange rate fluctuations on cash and cash equivalents,CASH FLOWS FROM FINANCING ACTIVITIES > Effect of exchange rate fluctuations on cash and cash equivalents,Effect of exchange rate fluctuations on cash and cash equivalents,61,"(164,213,981)","(13,545,308)",61.0,,
Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),CASH FLOWS FROM FINANCING ACTIVITIES > Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),70,"3,606,454,403,209","2,726,137,088,387",70.0,,
