row_label_raw,row_label_full,col_0,Land use rights VND,numeric__Land use rights VND
Cost,Cost,Cost,Cost,
Opening balance,Opening balance,Opening balance,"34,911,821,575",
Transfer to long-term prepaid expenses (*),Transfer to long-term prepaid expenses (*),Transfer to long-term prepaid expenses (*),"(21,400,510,680)",
Closing balance,Closing balance,Closing balance,"13,511,310,895",
Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,
Opening and closing balance,Opening and closing balance,Opening and closing balance,"3,150,911,918",
Net book value,Net book value,Net book value,Net book value,
Opening balance,Opening balance,Opening balance,"31,760,909,657",
Closing balance,Closing balance,Closing balance,"10,360,398,977",
