row_label_raw,row_label_full,Company name,31/12/2021 > Equity accounted VND,31/12/2021 > Fair value VND,31/12/2021 > Allowance VND,1/1/2021 > Equity accounted VND,1/1/2021 > Fair value VND,1/1/2021 > Allowance VND,numeric__31/12/2021 > Equity accounted VND,numeric__31/12/2021 > Fair value VND,numeric__31/12/2021 > Allowance VND,numeric__1/1/2021 > Equity accounted VND,numeric__1/1/2021 > Fair value VND,numeric__1/1/2021 > Allowance VND
Truong Sa Food - Food Business Joint Stock Company,Truong Sa Food - Food Business Joint Stock Company,Truong Sa Food - Food Business Joint Stock Company,"4,877,957,381",(*),"(4,877,957,381)","4,877,957,381",(*),"(4,877,957,381)",,,,,,
Thanh Nam Consultant Investment - Engineering and Technology Transfer Joint Stock Company,Thanh Nam Consultant Investment - Engineering and Technology Transfer Joint Stock Company,Thanh Nam Consultant Investment - Engineering and Technology Transfer Joint Stock Company,"329,653,546",(*),-,"329,653,546",(*),-,,,,,,
Saigon - Phutho Beer Joint Stock Company,Saigon - Phutho Beer Joint Stock Company,Saigon - Phutho Beer Joint Stock Company,"75,220,306,437","78,288,300,000",-,"76,988,553,528","76,124,792,250",-,,,,,,
Mechanical and Industrial Construction Joint Stock Company,Mechanical and Industrial Construction Joint Stock Company,Mechanical and Industrial Construction Joint Stock Company,"6,863,792,917",(*),-,"6,634,611,156",(*),-,,,,,,
Saigon Tay Do Beer - Beverage Joint Stock Company,Saigon Tay Do Beer - Beverage Joint Stock Company,Saigon Tay Do Beer - Beverage Joint Stock Company,"102,909,001,175",(*),-,"105,166,392,165",(*),-,,,,,,
Me Linh Point Limited,Me Linh Point Limited,Me Linh Point Limited,"148,317,898,412",(*),-,"138,972,042,458",(*),-,,,,,,
Crown Beverage Cans Saigon Limited,Crown Beverage Cans Saigon Limited,Crown Beverage Cans Saigon Limited,"399,664,328,265",(*),-,"421,373,260,968",(*),-,,,,,,
Malaya - Vietnam Glass Limited,Malaya - Vietnam Glass Limited,Malaya - Vietnam Glass Limited,"298,120,109,369",(*),-,"289,884,838,556",(*),-,,,,,,
San Miguel Yamamura Phu Tho Packaging Company Limited,San Miguel Yamamura Phu Tho Packaging Company Limited,San Miguel Yamamura Phu Tho Packaging Company Limited,"62,864,180,949",(*),-,"62,363,920,103",(*),-,,,,,,
Vietnam Spirits and Wine Ltd,Vietnam Spirits and Wine Ltd,Vietnam Spirits and Wine Ltd,"29,620,590,750",(*),-,"26,502,914,250",(*),"(26,502,914,250)",,,,,,
Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,"454,830,093,909",(*),-,"497,424,046,356",(*),-,,,,,,
Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,"179,682,165,759","413,026,980,100",-,"159,912,655,618","405,288,769,700",-,,,,,,
Tan Thanh Investment Trading Company Limited,Tan Thanh Investment Trading Company Limited,Tan Thanh Investment Trading Company Limited,"70,829,555,721",(*),"(70,829,555,721)","70,829,555,721",(*),"(70,829,555,721)",,,,,,
Saigon - Baclieu Beer Joint Stock Company,Saigon - Baclieu Beer Joint Stock Company,Saigon - Baclieu Beer Joint Stock Company,"37,721,306,901","25,956,365,217",-,"37,736,550,074","28,164,607,059",-,,,,,,
Sai Gon - Vinh Long Beer Joint Stock Company,Sai Gon - Vinh Long Beer Joint Stock Company,Sai Gon - Vinh Long Beer Joint Stock Company,"53,210,068,735",(*),-,"54,828,489,105",(*),-,,,,,,
Sai Gon - Kien Giang Beer Joint Stock Company,Sai Gon - Kien Giang Beer Joint Stock Company,Sai Gon - Kien Giang Beer Joint Stock Company,"11,524,000,597",(*),-,"23,576,877,118",(*),-,,,,,,
Sai Gon - Khanh Hoa Beer Joint Stock Company,Sai Gon - Khanh Hoa Beer Joint Stock Company,Sai Gon - Khanh Hoa Beer Joint Stock Company,"47,835,118,934",(*),-,"45,329,335,287",(*),-,,,,,,
Saigon - Bentre Beer Joint Stock Company,Saigon - Bentre Beer Joint Stock Company,Saigon - Bentre Beer Joint Stock Company,"25,651,475,862",(*),-,"26,296,850,739",(*),-,,,,,,
,,,"2,010,071,605,619",,"(75,707,513,102)","2,049,028,504,129",,"(102,210,427,352)",,,,,,
