row_label_raw,row_label_full,col_0,31/12/2021 and 1/1/2021,31/12/2021 and 1/1/2021_1,numeric__31/12/2021 and 1/1/2021,numeric__31/12/2021 and 1/1/2021_1
,,,Number of shares,VND,,
Authorised and issued share capital,Authorised and issued share capital,Authorised and issued share capital,Authorised and issued share capital,Authorised and issued share capital,,
Ordinary shares,Ordinary shares,Ordinary shares,"641,281,186","6,412,811,860,000",,
Shares in circulation,Shares in circulation,Shares in circulation,Shares in circulation,Shares in circulation,,
Ordinary shares,Ordinary shares,Ordinary shares,"641,281,186","6,412,811,860,000",,
