row_label_raw,row_label_full,col_0,Code,Note,2021 VND,2020 VND,numeric__Code,numeric__Note,numeric__2021 VND,numeric__2020 VND
Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,01,31,"26,578,007,393,513","28,135,622,624,299",1.0,31.0,,
Revenue deductions,Revenue deductions,Revenue deductions,02,31,"204,261,099,655","174,298,787,288",2.0,31.0,,
Net revenue (10 = 01 - 02),Net revenue (10 = 01 - 02),Net revenue (10 = 01 - 02),10,31,"26,373,746,293,858","27,961,323,837,011",10.0,31.0,,
Cost of goods sold and services provided,Cost of goods sold and services provided,Cost of goods sold and services provided,11,32,"18,765,181,482,365","19,460,229,052,562",11.0,32.0,,
Gross profit (20 = 10 - 11),Gross profit (20 = 10 - 11),Gross profit (20 = 10 - 11),20,,"7,608,564,811,493","8,501,094,784,449",20.0,,,
Financial income,Financial income,Financial income,21,33,"1,119,597,121,857","974,401,634,870",21.0,33.0,,
Financial expenses,Financial expenses,Financial expenses,22,34,"22,784,167,607","105,449,377,566",22.0,34.0,,
In which: Interest expense,In which: Interest expense,In which: Interest expense,23,,"48,739,800,374","63,681,326,473",23.0,,,
Share of profits in associates and jointly controlled entities,Share of profits in associates and jointly controlled entities,Share of profits in associates and jointly controlled entities,24,7(c),"172,939,963,562","267,405,919,991",24.0,,,
Selling expenses,Selling expenses,Selling expenses,25,35,"3,500,368,629,369","2,859,036,781,083",25.0,35.0,,
General and administration expenses,General and administration expenses,General and administration expenses,26,36,"597,716,255,412","702,005,344,515",26.0,36.0,,
Net operating profit {30 = 20 + (21 - 22) + 24 - (25 + 26)},Net operating profit {30 = 20 + (21 - 22) + 24 - (25 + 26)},Net operating profit {30 = 20 + (21 - 22) + 24 - (25 + 26)},30,,"4,780,232,844,524","6,076,410,836,146",30.0,,,
Other income,Other income,Other income,31,,"95,929,356,826","55,952,250,986",31.0,,,
Other expenses,Other expenses,Other expenses,32,,"19,267,951,607","20,544,761,167",32.0,,,
Results of other activities (40 = 31 - 32),Results of other activities (40 = 31 - 32),Results of other activities (40 = 31 - 32),40,,"76,661,405,219","35,407,489,819",40.0,,,
Accounting profit before tax (50 = 30 + 40),Accounting profit before tax (50 = 30 + 40),Accounting profit before tax (50 = 30 + 40),50,,"4,856,894,249,743","6,111,818,325,965",50.0,,,
Income tax expense – current,Income tax expense – current,Income tax expense – current,51,38,"954,964,248,596","1,124,942,822,470",51.0,38.0,,
Income tax (benefit)/expense – deferred,Income tax (benefit)/expense – deferred,Income tax (benefit)/expense – deferred,52,38,"(27,375,546,091)","50,029,533,241",52.0,38.0,,
Net profit after tax (60 = 50 - 51 - 52) (carried forward to next page),Net profit after tax (60 = 50 - 51 - 52) (carried forward to next page),Net profit after tax (60 = 50 - 51 - 52) (carried forward to next page),60,,"3,929,305,547,238","4,936,845,970,254",60.0,,,
