row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,"Nhà cửa,vật kiến trúcVND",TổngVND,numeric__Quyềnsử dụng đấtVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,27.812.438.744,29.944.361.628,57.756.800.372,27812438744.0,29944361628.0,57756800372.0
Chuyển sang tài sản cố định hữu hình,Nguyên giá > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,(3.201.696.632),(3.201.696.632),,-3201696632.0,-3201696632.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(388.429.394),(388.429.394),,-388429394.0,-388429394.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,27.812.438.744,26.354.235.602,54.166.674.346,27812438744.0,26354235602.0,54166674346.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,8.510.892.550,15.833.068.809,24.343.961.359,8510892550.0,15833068809.0,24343961359.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,604.618.236,1.640.445.992,2.245.064.228,604618236.0,1640445992.0,2245064228.0
Chuyển sang tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,(2.943.771.712),(2.943.771.712),,-2943771712.0,-2943771712.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(388.429.394),(388.429.394),,-388429394.0,-388429394.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,9.115.510.786,14.141.313.695,23.256.824.481,9115510786.0,14141313695.0,23256824481.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,19.301.546.194,14.111.292.819,33.412.839.013,19301546194.0,14111292819.0,33412839013.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,18.696.927.958,12.212.921.907,30.909.849.865,18696927958.0,12212921907.0,30909849865.0
