row_label_raw,row_label_full,col_0,Code,Note,31/12/2021 VND,1/1/2021 VND,numeric__Code,numeric__Note,numeric__31/12/2021 VND,numeric__1/1/2021 VND
RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,,,,
LIABILITIES (300 = 310 + 330),RESOURCES > LIABILITIES (300 = 310 + 330),LIABILITIES (300 = 310 + 330),300,,"7,892,238,669,264","6,159,696,384,430",300.0,,,
Current liabilities,RESOURCES > Current liabilities,Current liabilities,310,,"7,258,020,535,153","5,173,043,219,872",310.0,,,
Accounts payable to suppliers,RESOURCES > Accounts payable to suppliers,Accounts payable to suppliers,311,19(a),"2,400,247,668,451","1,652,906,614,848",311.0,,,
Advances from customers,RESOURCES > Advances from customers,Advances from customers,312,,"63,252,571,190","64,714,811,339",312.0,,,
Taxes payable to State Treasury,RESOURCES > Taxes payable to State Treasury,Taxes payable to State Treasury,313,20(a),"1,416,974,562,127","1,257,298,332,033",313.0,,,
Payables to employees,RESOURCES > Payables to employees,Payables to employees,314,,"218,498,138,481","360,587,762,596",314.0,,,
Accrued expenses,RESOURCES > Accrued expenses,Accrued expenses,315,21,"370,691,834,530","237,321,466,479",315.0,21.0,,
Unearned revenue – short-term,RESOURCES > Unearned revenue – short-term,Unearned revenue – short-term,318,,"517,454,548","781,818,369",318.0,,,
Other payables – short-term,RESOURCES > Other payables – short-term,Other payables – short-term,319,22(a),"2,227,840,485,776","966,919,825,167",319.0,,,
Short-term borrowings and finance lease liabilities,RESOURCES > Short-term borrowings and finance lease liabilities,Short-term borrowings and finance lease liabilities,320,23(a),"321,746,371,972","448,791,959,859",320.0,,,
Provisions – short-term,RESOURCES > Provisions – short-term,Provisions – short-term,321,,-,"199,849,423",321.0,,,
Bonus and welfare fund,RESOURCES > Bonus and welfare fund,Bonus and welfare fund,322,24,"238,251,448,078","183,520,779,759",322.0,24.0,,
Long-term liabilities,RESOURCES > Long-term liabilities,Long-term liabilities,330,,"634,218,134,111","986,653,164,558",330.0,,,
Long-term accounts payable to suppliers,RESOURCES > Long-term accounts payable to suppliers,Long-term accounts payable to suppliers,331,19(b),"123,520,604,800","167,227,272,000",331.0,,,
Other payables – long-term,RESOURCES > Other payables – long-term,Other payables – long-term,337,22(b),"54,810,064,986","54,553,516,000",337.0,,,
Long-term borrowings and finance lease liabilities,RESOURCES > Long-term borrowings and finance lease liabilities,Long-term borrowings and finance lease liabilities,338,23(b),"341,226,010,423","526,263,958,457",338.0,,,
Deferred tax liabilities,RESOURCES > Deferred tax liabilities,Deferred tax liabilities,341,18,"33,303,325,207","36,606,382,644",341.0,18.0,,
Provisions – long-term,RESOURCES > Provisions – long-term,Provisions – long-term,342,25,"81,358,128,695","126,213,421,774",342.0,25.0,,
Science and technology development fund,RESOURCES > Science and technology development fund,Science and technology development fund,343,,-,"75,788,613,683",343.0,,,
