row_label_raw,row_label_full,col_0,1/1/2021VND,Net-offVND,Reclassified from taxes payableVND,31/12/2021VND,numeric__1/1/2021VND,numeric__Net-offVND,numeric__Reclassified from taxes payableVND,numeric__31/12/2021VND
Corporate income tax,Corporate income tax,Corporate income tax,"2,245,145,731","(190,735,228)","912,508,591","2,966,919,094",,,,
Personal income tax,Personal income tax,Personal income tax,"3,717,307,576","(2,936,377,977)","88,859,551","869,789,150",,,,
Other taxes,Other taxes,Other taxes,"30,169,262,744","(5,041,118,177)","135,617,819","25,263,762,386",,,,
,,,"36,131,716,051","(8,168,231,382)","1,136,985,961","29,100,470,630",,,,
