row_label_raw,row_label_full,col_0,31/12/2021VND,1/1/2021VND,numeric__31/12/2021VND,numeric__1/1/2021VND
The ultimate parent company,The ultimate parent company,The ultimate parent company,The ultimate parent company,The ultimate parent company,,
Thai Beverage Public Company Limited,Thai Beverage Public Company Limited,Thai Beverage Public Company Limited,"448,149,450","1,878,375,715",,
The intermediate parent company,The intermediate parent company,The intermediate parent company,The intermediate parent company,The intermediate parent company,,
BeerCo Limited,BeerCo Limited,BeerCo Limited,"1,727,126,808",-,,
The parent company,The parent company,The parent company,The parent company,The parent company,,
Vietnam Beverage Company Limited,Vietnam Beverage Company Limited,Vietnam Beverage Company Limited,"687,285,174,000",-,,
Associates and jointly controlled entities,Associates and jointly controlled entities,Associates and jointly controlled entities,Associates and jointly controlled entities,Associates and jointly controlled entities,,
Thanh Nam Consultant Investment - Engineering and Technology Transfer Joint Stock Company,Thanh Nam Consultant Investment - Engineering and Technology Transfer Joint Stock Company,Thanh Nam Consultant Investment - Engineering and Technology Transfer Joint Stock Company,"340,000,000","340,000,000",,
Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,"287,780,949","287,780,949",,
Saigon - Baclieu Beer Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company > Saigon - Baclieu Beer Joint Stock Company,Saigon - Baclieu Beer Joint Stock Company,"56,487,760","719,210",,719.21
Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,-,"215,350,400",,
Sai Gon - Khanh Hoa Beer Joint Stock Company,Sai Gon - Khanh Hoa Beer Joint Stock Company,Sai Gon - Khanh Hoa Beer Joint Stock Company,-,"10,937,943",,
Other related parties,Other related parties,Other related parties,Other related parties,Other related parties,,
Super Brands Company Pte. Ltd,Super Brands Company Pte. Ltd,Super Brands Company Pte. Ltd,"2,477,547,727","2,464,069,317",,
"Chang International Co., Ltd","Chang International Co., Ltd","Chang International Co., Ltd","750,049,954","667,563,948",,
"Chang Beer Co., Ltd","Chang Beer Co., Ltd","Chang Beer Co., Ltd","743,116,593",-,,
"Fraser and Neave, Limited","Fraser and Neave, Limited","Fraser and Neave, Limited","626,614,560","481,446,018",,
Fraser & Neave (Singapore) Pte. Limited,Fraser & Neave (Singapore) Pte. Limited,Fraser & Neave (Singapore) Pte. Limited,-,"2,000,000",,
