row_label_raw,row_label_full,col_0,Buildings and structures VND,numeric__Buildings and structures VND
Cost,Cost,Cost,Cost,
Opening balance,Opening balance,Opening balance,"179,020,927,499",
Adjustments during the year,Adjustments during the year,Adjustments during the year,"(5,438,201,434)",
Closing balance,Closing balance,Closing balance,"173,582,726,065",
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,
Opening balance,Opening balance,Opening balance,"886,754,367",
Charge for the year,Charge for the year,Charge for the year,"5,203,616,193",
Closing balance,Closing balance,Closing balance,"6,090,370,560",
Net book value,Net book value,Net book value,Net book value,
Opening balance,Opening balance,Opening balance,"178,134,173,132",
Closing balance,Closing balance,Closing balance,"167,492,355,505",
