row_label_raw,row_label_full,col_0,Code,Note,2021VND,2020VND,numeric__Code,numeric__Note,numeric__2021VND,numeric__2020VND
Net profit after tax (60 = 50 - 51 - 52)(brought forward from previous page),Net profit after tax (60 = 50 - 51 - 52)(brought forward from previous page),Net profit after tax (60 = 50 - 51 - 52)(brought forward from previous page),60,,"3,929,305,547,238","4,936,845,970,254",60.0,,,
Attributable to:,Attributable to:,Attributable to:,Attributable to:,Attributable to:,Attributable to:,Attributable to:,,,,
Equity holders of the Company,Attributable to: > Equity holders of the Company,Equity holders of the Company,61,,"3,677,252,341,304","4,723,496,860,190",61.0,,,
Non-controlling interest,Attributable to: > Non-controlling interest,Non-controlling interest,62,,"252,053,205,934","213,349,110,064",62.0,,,
Earnings per share,Earnings per share,Earnings per share,,,,(Restated),,,,
Basic earnings per share,Earnings per share > Basic earnings per share,Basic earnings per share,70,39,"5,502","7,145",70.0,39.0,5.502,7.145
