row_label_raw,row_label_full,Tên công ty,31/12/2021 > Hạch toán theovốn chủ sở hữuVND,31/12/2021 > Giá trị hợp lýVND,31/12/2021 > Dự phòngVND,1/1/2021 > Hạch toán theovốn chủ sở hữuVND,1/1/2021 > Giá trị hợp lýVND,1/1/2021 > Dự phòngVND,numeric__31/12/2021 > Hạch toán theovốn chủ sở hữuVND,numeric__31/12/2021 > Giá trị hợp lýVND,numeric__31/12/2021 > Dự phòngVND,numeric__1/1/2021 > Hạch toán theovốn chủ sở hữuVND,numeric__1/1/2021 > Giá trị hợp lýVND,numeric__1/1/2021 > Dự phòngVND
Công ty Cổ phần Kinh doanh Lương thực - Thực phẩmTrường Sa,Công ty Cổ phần Kinh doanh Lương thực - Thực phẩmTrường Sa,Công ty Cổ phần Kinh doanh Lương thực - Thực phẩmTrường Sa,4.877.957.381,(*),(4.877.957.381),4.877.957.381,(*),(4.877.957.381),4877957381.0,,-4877957381.0,4877957381.0,,-4877957381.0
Công ty Cổ phần Tư vấn Đầu tư - Thiết kế và Chuyểngiao Công nghệ Thành Nam,Công ty Cổ phần Tư vấn Đầu tư - Thiết kế và Chuyểngiao Công nghệ Thành Nam,Công ty Cổ phần Tư vấn Đầu tư - Thiết kế và Chuyểngiao Công nghệ Thành Nam,329.653.546,(*),-,329.653.546,(*),-,329653546.0,,,329653546.0,,
Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,75.220.306.437,78.288.300.000,-,76.988.553.528,76.124.792.250,-,75220306437.0,78288300000.0,,76988553528.0,76124792250.0,
Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,6.863.792.917,(*),-,6.634.611.156,(*),-,6863792917.0,,,6634611156.0,,
Công ty Cổ phần Bia - Nước Giải khát Sài Gòn - Tây Đồ,Công ty Cổ phần Bia - Nước Giải khát Sài Gòn - Tây Đồ,Công ty Cổ phần Bia - Nước Giải khát Sài Gòn - Tây Đồ,102.909.001.175,(*),-,105.166.392.165,(*),-,102909001175.0,,,105166392165.0,,
Công ty TNHH Trung Tâm Mê Linh,Công ty TNHH Trung Tâm Mê Linh,Công ty TNHH Trung Tâm Mê Linh,148.317.898.412,(*),-,138.972.042.458,(*),-,148317898412.0,,,138972042458.0,,
Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,399.664.328.265,(*),-,421.373.260.968,(*),-,399664328265.0,,,421373260968.0,,
Công ty TNHH Thủy tinh Malaya Việt Nam,Công ty TNHH Thủy tinh Malaya Việt Nam,Công ty TNHH Thủy tinh Malaya Việt Nam,298.120.109.369,(*),-,289.884.838.556,(*),-,298120109369.0,,,289884838556.0,,
Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,62.864.180.949,(*),-,62.363.920.103,(*),-,62864180949.0,,,62363920103.0,,
Công ty TNHH Sản xuất Rượu và Cồn Việt Nam,Công ty TNHH Sản xuất Rượu và Cồn Việt Nam,Công ty TNHH Sản xuất Rượu và Cồn Việt Nam,29.620.590.750,(*),-,26.502.914.250,(*),(26.502.914.250),29620590750.0,,,26502914250.0,,-26502914250.0
