row_label_raw,row_label_full,col_0,Buildings and structures VND,Machinery and equipment VND,Motor vehicles VND,Office equipment VND,Others VND,Total VND,numeric__Buildings and structures VND,numeric__Machinery and equipment VND,numeric__Motor vehicles VND,numeric__Office equipment VND,numeric__Others VND,numeric__Total VND
Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,,,,,,
Opening balance,Opening balance,Opening balance,"2,115,980,817,406","8,232,148,288,565","252,733,707,252","164,844,129,295","9,249,846,674","10,774,956,789,192",,,,,,
Additions,Additions,Additions,"7,279,069,981","23,732,438,249","4,688,000,000","2,080,122,546",-,"37,779,630,776",,,,,,
Transfer from construction in progress,Transfer from construction in progress,Transfer from construction in progress,"5,014,246,530","43,558,964,913","2,826,702,715","663,636,364","182,430,784","52,245,981,306",,,,,,
Transfer from investment properties,Transfer from investment properties,Transfer from investment properties,"3,201,696,632",-,-,-,-,"3,201,696,632",,,,,,
Reclassification,Reclassification,Reclassification,"3,769,522,279","(769,989,543)",-,"(3,540,036,919)","540,504,183",-,,,,,,
Disposals,Disposals,Disposals,"(951,133,325)","(7,106,276,632)","(11,226,762,052)","(859,759,060)",-,"(20,143,931,069)",,,,,,
Other adjustments,Other adjustments,Other adjustments,-,-,-,"(1,017,145,320)",-,"(1,017,145,320)",,,,,,
Closing balance,Closing balance,Closing balance,"2,134,294,219,503","8,291,563,425,552","249,021,647,915","162,170,946,906","9,972,781,641","10,847,023,021,517",,,,,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,,,,
Opening balance,Opening balance,Opening balance,"1,075,752,830,510","5,604,489,684,149","204,083,392,117","130,578,998,258","6,662,860,414","7,021,567,765,448",,,,,,
Charge for the year,Charge for the year,Charge for the year,"96,774,469,066","416,472,347,591","14,118,827,590","13,090,426,639","966,980,792","541,423,051,678",,,,,,
Transfer from investment properties,Transfer from investment properties,Transfer from investment properties,"2,943,771,712",-,-,-,-,"2,943,771,712",,,,,,
Reclassification,Reclassification,Reclassification,"3,647,876,053","(493,372,223)",-,"(3,663,319,707)","508,815,877",-,,,,,,
Disposals,Disposals,Disposals,"(951,133,325)","(7,001,368,500)","(11,226,762,052)","(859,759,060)",-,"(20,039,022,937)",,,,,,
Closing balance,Closing balance,Closing balance,"1,178,167,814,016","6,013,467,291,017","206,975,457,655","139,146,346,130","8,138,657,083","7,545,895,565,901",,,,,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,,,,
Opening balance,Opening balance,Opening balance,"1,040,227,986,896","2,627,658,604,416","48,650,315,135","34,265,131,037","2,586,986,260","3,753,389,023,744",,,,,,
Closing balance,Closing balance,Closing balance,"956,126,405,487","2,278,096,134,535","42,046,190,260","23,024,600,776","1,834,124,558","3,301,127,455,616",,,,,,
