row_label_raw,row_label_full,col_0,Quyềnsử dụng đất (*)VND,Phần mềmmáy vi tínhVND,Tài sảnvô hình khácVND,TổngVND,numeric__Quyềnsử dụng đất (*)VND,numeric__Phần mềmmáy vi tínhVND,numeric__Tài sảnvô hình khácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.024.181.907.580,77.910.746.456,104.000.000,1.102.196.654.036,1024181907580.0,77910746456.0,104000000.0,1102196654036.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,773.636.000,-,773.636.000,,773636000.0,,773636000.0
Chuyển từ xây dựngcơ bản dở dang,Nguyên giá > Chuyển từ xây dựngcơ bản dở dang,Chuyển từ xây dựngcơ bản dở dang,-,2.620.945,-,2.620.945,,2620945.0,,2620945.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.024.181.907.580,78.687.003.401,104.000.000,1.102.972.910.981,1024181907580.0,78687003401.0,104000000.0,1102972910981.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,90.430.621.437,68.683.873.954,101.706.000,159.216.201.391,90430621437.0,68683873954.0,101706000.0,159216201391.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,6.814.635.334,3.759.773.291,2.294.000,10.576.702.625,6814635334.0,3759773291.0,2294000.0,10576702625.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,97.245.256.771,72.443.647.245,104.000.000,169.792.904.016,97245256771.0,72443647245.0,104000000.0,169792904016.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,933.751.286.143,9.226.872.502,2.294.000,942.980.452.645,933751286143.0,9226872502.0,2294000.0,942980452645.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,926.936.650.809,6.243.356.156,-,933.180.006.965,926936650809.0,6243356156.0,,933180006965.0
