row_label_raw,row_label_full,col_0,Code,Note,31/12/2021VND,1/1/2021VND,numeric__Code,numeric__Note,numeric__31/12/2021VND,numeric__1/1/2021VND
EQUITY (400 = 410),EQUITY (400 = 410),EQUITY (400 = 410),400,,"22,594,785,703,161","21,215,276,390,928",400.0,,,
Owners' equity,Owners' equity,Owners' equity,410,26,"22,594,785,703,161","21,215,276,390,928",410.0,26.0,,
Share capital,Share capital,Share capital,411,27,"6,412,811,860,000","6,412,811,860,000",411.0,27.0,,
Ordinary shares with voting rights,Ordinary shares with voting rights,Ordinary shares with voting rights,411a,,"6,412,811,860,000","6,412,811,860,000",,,,
Other capital,Ordinary shares with voting rights > Other capital,Other capital,414,,"3,208,666,226","3,208,666,226",414.0,,,
Foreign exchange differences,Ordinary shares with voting rights > Foreign exchange differences,Foreign exchange differences,417,,"27,339,292,861","26,865,333,874",417.0,,,
Investment and development fund,Ordinary shares with voting rights > Investment and development fund,Investment and development fund,418,28,"1,122,241,373,127","1,122,846,170,630",418.0,28.0,,
Retained profits,Ordinary shares with voting rights > Retained profits,Retained profits,421,,"13,655,871,142,263","12,374,498,805,733",421.0,,,
Retained profits brought forward,Retained profits brought forward,Retained profits brought forward,421a,,"10,132,670,088,304","7,805,481,048,248",,,,
Retained profit for the current year,Retained profit for the current year,Retained profit for the current year,421b,,"3,523,201,053,959","4,569,017,757,485",,,,
Non-controlling interest,Retained profit for the current year > Non-controlling interest,Non-controlling interest,429,,"1,373,313,368,684","1,275,045,554,465",429.0,,,
TOTAL RESOURCES(440 = 300 + 400),Retained profit for the current year > TOTAL RESOURCES(440 = 300 + 400),TOTAL RESOURCES(440 = 300 + 400),440,,"30,487,024,372,425","27,374,972,775,358",440.0,,,
