row_label_raw,row_label_full,col_0,Share capital VND,Other capital VND,Foreign exchange differences VND,Investment and development fund VND,Retained profits VND,Total equity attributable to owners of the Company VND,Non-controlling interest VND,Total VND,numeric__Share capital VND,numeric__Other capital VND,numeric__Foreign exchange differences VND,numeric__Investment and development fund VND,numeric__Retained profits VND,numeric__Total equity attributable to owners of the Company VND,numeric__Non-controlling interest VND,numeric__Total VND
Balance as at 1 January 2021,Balance as at 1 January 2021,Balance as at 1 January 2021,"6,412,811,860,000","3,208,666,226","26,865,333,874","1,122,846,170,630","12,374,498,805,733","19,940,230,836,463","1,275,045,554,465","21,215,276,390,928",,,,,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,-,"3,677,252,341,304","3,677,252,341,304","252,053,205,934","3,929,305,547,238",,,,,,,,
Appropriation to bonus and welfare fund (Note 24),Appropriation to bonus and welfare fund (Note 24),Appropriation to bonus and welfare fund (Note 24),-,-,-,-,"(148,992,864,643)","(148,992,864,643)","(21,378,309,369)","(170,371,174,012)",,,,,,,,
Adjustments to bonus and welfare fund (Note 24),Adjustments to bonus and welfare fund (Note 24),Adjustments to bonus and welfare fund (Note 24),-,-,-,-,"8,087,366,226","8,087,366,226","608,945,782","8,696,312,008",,,,,,,,
Dividends (Note 29),Dividends (Note 29),Dividends (Note 29),-,-,-,-,"(2,244,484,151,000)","(2,244,484,151,000)","(138,226,824,350)","(2,382,710,975,350)",,,,,,,,
Foreign exchange differences,Foreign exchange differences,Foreign exchange differences,-,-,"473,958,987",-,-,"473,958,987",-,"473,958,987",,,,,,,,
Appropriation to social activities fund,Appropriation to social activities fund,Appropriation to social activities fund,-,-,-,-,"(5,058,422,702)","(5,058,422,702)","(937,933,937)","(5,996,356,639)",,,,,,,,
Adjustments to social activities fund,Appropriation to social activities fund > Adjustments to social activities fund,Adjustments to social activities fund,-,-,-,-,"111,684,257","111,684,257","315,745","112,000,002",,,,,,,315.745,
Others,Appropriation to social activities fund > Others,Others,-,-,-,"(604,797,503)","(5,543,616,912)","(6,148,414,415)","6,148,414,414",(1),,,,,,,,-1.0
Balance as at 31 December 2021,Balance as at 31 December 2021,Balance as at 31 December 2021,"6,412,811,860,000","3,208,666,226","27,339,292,861","1,122,241,373,127","13,655,871,142,263","21,221,472,334,477","1,373,313,368,684","22,594,785,703,161",,,,,,,,
