row_label_raw,row_label_full,col_0,Land use rights VND,Buildings and structures VND,Total VND,numeric__Land use rights VND,numeric__Buildings and structures VND,numeric__Total VND
Cost,Cost,Cost,Cost,Cost,Cost,,,
Opening balance,Opening balance,Opening balance,"27,812,438,744","29,944,361,628","57,756,800,372",,,
Transfer to tangible fixed assets,Transfer to tangible fixed assets,Transfer to tangible fixed assets,-,"(3,201,696,632)","(3,201,696,632)",,,
Disposals,Disposals,Disposals,-,"(388,429,394)","(388,429,394)",,,
Closing balance,Closing balance,Closing balance,"27,812,438,744","26,354,235,602","54,166,674,346",,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,
Opening balance,Opening balance,Opening balance,"8,510,892,550","15,833,068,809","24,343,961,359",,,
Charge for the year,Charge for the year,Charge for the year,"604,618,236","1,640,445,992","2,245,064,228",,,
Transfer to tangible fixed assets,Transfer to tangible fixed assets,Transfer to tangible fixed assets,-,"(2,943,771,712)","(2,943,771,712)",,,
Disposals,Disposals,Disposals,-,"(388,429,394)","(388,429,394)",,,
Closing balance,Closing balance,Closing balance,"9,115,510,786","14,141,313,695","23,256,824,481",,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,
Opening balance,Opening balance,Opening balance,"19,301,546,194","14,111,292,819","33,412,839,013",,,
Closing balance,Closing balance,Closing balance,"18,696,927,958","12,212,921,907","30,909,849,865",,,
